stress_axis,stress_level,method,n,task_success,task_success_ci95,safety_violation,safety_violation_ci95,authority_regret,authority_regret_ci95,human_burden,human_burden_ci95,late_handoff,late_handoff_ci95,handoff_churn,handoff_churn_ci95,recovery_success,recovery_success_ci95,intervention_cost,intervention_cost_ci95,boundary_calibration_error,boundary_calibration_error_ci95,override_precision,override_precision_ci95,unsafe_autonomy,unsafe_autonomy_ci95,robust_utility,robust_utility_ci95
authority_churn,0.40,mpc_risk_arbitration,10,0.408333,0.020516,0.201667,0.024687,0.264271,0.000484,0.374677,0.001021,0.314749,0.000687,0.391878,0.000917,0.709216,0.000860,0.295385,0.000564,0.254626,0.000665,0.562106,0.000942,0.127863,0.000481,0.057124,0.022007
authority_churn,0.40,pomdp_handoff_policy,10,0.376666,0.020917,0.230000,0.021114,0.301990,0.000584,0.557859,0.000765,0.339358,0.001077,0.431586,0.000747,0.637298,0.001038,0.356099,0.000509,0.265066,0.000738,0.522669,0.000907,0.100535,0.000302,-0.066031,0.026746
authority_churn,0.40,recovery_aware_mpc,10,0.455000,0.021531,0.223333,0.028478,0.277858,0.000635,0.420704,0.000855,0.310343,0.001198,0.401668,0.001328,0.757742,0.001066,0.342897,0.000479,0.264598,0.000474,0.553406,0.000380,0.124959,0.000414,0.074575,0.033503
authority_churn,0.60,authority_boundary_v5,10,0.335000,0.020196,0.238333,0.028206,0.338521,0.000535,0.709301,0.001115,0.340914,0.001008,0.507603,0.000895,0.600069,0.001120,0.384383,0.000573,0.291717,0.000721,0.499722,0.000832,0.070689,0.000500,-0.173521,0.029859
authority_churn,0.60,bayesian_authority_allocation,10,0.255000,0.022474,0.270000,0.029339,0.359248,0.000591,0.733540,0.000741,0.376665,0.001310,0.497136,0.000654,0.519335,0.000934,0.377107,0.000491,0.291982,0.000451,0.459300,0.000734,0.070891,0.000216,-0.294348,0.035717
authority_churn,0.60,cbf_safety_filter,10,0.372500,0.030899,0.165833,0.029666,0.290079,0.000899,0.327024,0.001297,0.329337,0.001227,0.427130,0.000969,0.637165,0.000696,0.230592,0.000780,0.281482,0.000445,0.529085,0.001129,0.118064,0.000381,0.042642,0.035247
authority_churn,0.60,confidence_threshold_shared_control,10,0.114167,0.016342,0.324167,0.020581,0.466632,0.000669,0.883442,0.001400,0.430098,0.001340,0.557724,0.000643,0.326643,0.000730,0.384906,0.000531,0.351596,0.000532,0.339545,0.000887,0.064611,0.000119,-0.563602,0.018842
authority_churn,0.60,mpc_risk_arbitration,10,0.425833,0.017634,0.212500,0.016197,0.268540,0.000628,0.373361,0.000564,0.313269,0.001189,0.437169,0.001008,0.705715,0.000963,0.298428,0.000590,0.261593,0.000503,0.559851,0.001066,0.131658,0.000316,0.061373,0.017262
authority_churn,0.60,pomdp_handoff_policy,10,0.335833,0.031751,0.252500,0.021093,0.306084,0.000567,0.558018,0.001882,0.338448,0.001098,0.477199,0.000700,0.633571,0.000645,0.359743,0.000844,0.272016,0.000469,0.519412,0.000610,0.102603,0.000568,-0.127866,0.041880
authority_churn,0.60,recovery_aware_mpc,10,0.391667,0.015966,0.214167,0.020524,0.283099,0.000703,0.420672,0.001136,0.310237,0.001206,0.447051,0.000962,0.754339,0.001175,0.346908,0.000537,0.271904,0.000832,0.549359,0.001183,0.127889,0.000354,0.009520,0.020167
authority_churn,0.80,authority_boundary_v5,10,0.325000,0.024830,0.251667,0.023581,0.344174,0.000781,0.709038,0.000863,0.341556,0.000971,0.551302,0.000995,0.595606,0.001283,0.388203,0.000688,0.300112,0.000812,0.495669,0.001025,0.072455,0.000369,-0.199223,0.031405
authority_churn,0.80,bayesian_authority_allocation,10,0.249167,0.019087,0.260833,0.021920,0.364269,0.000866,0.733496,0.001199,0.377513,0.000976,0.541119,0.001499,0.515752,0.000837,0.381260,0.000738,0.299403,0.000715,0.455644,0.001100,0.072325,0.000396,-0.301859,0.027588
authority_churn,0.80,cbf_safety_filter,10,0.373333,0.027200,0.184167,0.013655,0.294181,0.000762,0.327774,0.001391,0.329922,0.001085,0.470969,0.000996,0.632519,0.000710,0.234749,0.000348,0.289957,0.000753,0.525486,0.000993,0.120687,0.000481,0.024762,0.028868
authority_churn,0.80,confidence_threshold_shared_control,10,0.106667,0.023832,0.287500,0.034968,0.472409,0.000599,0.883677,0.001315,0.430477,0.000750,0.601487,0.000955,0.323310,0.000782,0.388514,0.000538,0.359934,0.000894,0.334933,0.000596,0.065614,0.000147,-0.555810,0.029378
authority_churn,0.80,mpc_risk_arbitration,10,0.425833,0.018773,0.214167,0.023613,0.273888,0.000777,0.373734,0.000919,0.314620,0.001217,0.481044,0.001057,0.700778,0.000807,0.302611,0.000427,0.269942,0.000718,0.555124,0.000837,0.134128,0.000494,0.052618,0.021831
authority_churn,0.80,pomdp_handoff_policy,10,0.340833,0.023663,0.241667,0.027654,0.311811,0.000564,0.557698,0.000562,0.339140,0.000977,0.521318,0.001011,0.629737,0.000817,0.362916,0.000725,0.279195,0.000863,0.515394,0.000678,0.104901,0.000375,-0.123533,0.036647
authority_churn,0.80,recovery_aware_mpc,10,0.410833,0.013567,0.214167,0.026116,0.287454,0.000866,0.420822,0.000987,0.310352,0.000733,0.491170,0.000946,0.749402,0.000587,0.350011,0.000634,0.279739,0.000762,0.545486,0.000791,0.130789,0.000261,0.021543,0.021236
authority_churn,1.00,authority_boundary_v5,10,0.310833,0.024476,0.279167,0.020839,0.345128,0.000843,0.709496,0.001943,0.340628,0.000874,0.561655,0.000931,0.594791,0.000521,0.388953,0.000873,0.307451,0.000584,0.491025,0.000970,0.072848,0.000482,-0.232022,0.030811
authority_churn,1.00,bayesian_authority_allocation,10,0.252500,0.031375,0.290000,0.019448,0.365634,0.000626,0.732568,0.001103,0.377265,0.001500,0.550751,0.001113,0.514750,0.000896,0.381543,0.000631,0.307579,0.000706,0.451515,0.001095,0.073222,0.000355,-0.317952,0.036556
authority_churn,1.00,cbf_safety_filter,10,0.390000,0.035267,0.170000,0.026916,0.295761,0.000580,0.328397,0.001013,0.329321,0.000874,0.481256,0.000591,0.630891,0.001094,0.235390,0.000808,0.297973,0.000772,0.521342,0.000845,0.122531,0.000488,0.048335,0.036640
authority_churn,1.00,confidence_threshold_shared_control,10,0.115833,0.020581,0.333333,0.038881,0.473153,0.000804,0.883021,0.001094,0.429654,0.000825,0.611864,0.000820,0.321415,0.000769,0.388708,0.000738,0.367533,0.000677,0.331227,0.001047,0.066279,0.000096,-0.576373,0.034640
authority_churn,1.00,mpc_risk_arbitration,10,0.433333,0.017892,0.210833,0.019486,0.274863,0.000599,0.373802,0.001148,0.314040,0.001030,0.492245,0.001327,0.700059,0.001010,0.303234,0.000716,0.278058,0.000614,0.551539,0.000453,0.135406,0.000349,0.060554,0.018177
authority_churn,1.00,pomdp_handoff_policy,10,0.321667,0.026583,0.220000,0.019509,0.312798,0.000609,0.556869,0.000627,0.339886,0.001292,0.531321,0.001032,0.628178,0.000637,0.363501,0.000604,0.288135,0.000698,0.511086,0.000865,0.106299,0.000426,-0.130818,0.034077
authority_churn,1.00,recovery_aware_mpc,10,0.411667,0.030235,0.230000,0.019960,0.289045,0.000511,0.421083,0.000740,0.309876,0.000915,0.502107,0.000759,0.749538,0.001023,0.351333,0.000674,0.287907,0.000736,0.541026,0.000576,0.131889,0.000500,0.010742,0.030190
combined,0.00,authority_boundary_v5,10,0.481667,0.026314,0.197500,0.013123,0.271037,0.000667,0.613316,0.001185,0.216914,0.001161,0.320703,0.001338,0.660821,0.001078,0.337273,0.000793,0.212012,0.000665,0.575234,0.000949,0.073078,0.000381,0.090210,0.029135
combined,0.00,bayesian_authority_allocation,10,0.417500,0.015293,0.223333,0.029801,0.291030,0.000437,0.636125,0.000771,0.252917,0.000985,0.310016,0.001269,0.581136,0.000764,0.329783,0.000954,0.212821,0.000527,0.535648,0.000574,0.075791,0.000257,-0.010550,0.024054
combined,0.00,cbf_safety_filter,10,0.525000,0.016333,0.142500,0.015486,0.224204,0.000673,0.230951,0.001661,0.205235,0.001067,0.240720,0.000710,0.696296,0.000892,0.183894,0.000468,0.202225,0.000485,0.605678,0.001180,0.101439,0.000388,0.300761,0.020642
combined,0.00,confidence_threshold_shared_control,10,0.234167,0.024159,0.281667,0.019900,0.397450,0.000804,0.786431,0.001067,0.306146,0.000959,0.370609,0.001100,0.388806,0.000631,0.337586,0.000308,0.272369,0.000848,0.415547,0.000710,0.056637,0.000265,-0.324683,0.022265
combined,0.00,mpc_risk_arbitration,10,0.570000,0.021940,0.149167,0.015864,0.202066,0.000755,0.277407,0.001260,0.189704,0.000958,0.250541,0.001245,0.766050,0.000943,0.251263,0.000549,0.182622,0.000481,0.636164,0.000721,0.116140,0.000555,0.336162,0.019939
combined,0.00,pomdp_handoff_policy,10,0.463333,0.033224,0.185000,0.022815,0.239241,0.000456,0.460589,0.000642,0.214367,0.001206,0.290751,0.001414,0.695201,0.000833,0.312329,0.000727,0.192423,0.000675,0.595525,0.000661,0.097083,0.000416,0.133476,0.039410
combined,0.00,recovery_aware_mpc,10,0.567500,0.020725,0.188333,0.017251,0.215844,0.000879,0.323212,0.000889,0.185543,0.000953,0.260320,0.001113,0.814654,0.001184,0.299440,0.000517,0.192070,0.000672,0.625726,0.001090,0.115067,0.000481,0.293504,0.025885
combined,0.20,authority_boundary_v5,10,0.392500,0.032526,0.213333,0.031578,0.303663,0.000627,0.661490,0.000990,0.279191,0.000778,0.388548,0.000930,0.630951,0.000712,0.358704,0.000987,0.248967,0.000787,0.538388,0.000998,0.073012,0.000339,-0.051130,0.025206
combined,0.20,bayesian_authority_allocation,10,0.325000,0.027654,0.255000,0.017078,0.324769,0.000692,0.685407,0.001182,0.314674,0.000765,0.378490,0.001206,0.551962,0.000832,0.351457,0.000619,0.249311,0.000439,0.498588,0.000955,0.074378,0.000350,-0.165545,0.025995
combined,0.20,cbf_safety_filter,10,0.474167,0.031881,0.141666,0.022970,0.256253,0.000733,0.280314,0.000956,0.267962,0.000958,0.308169,0.001212,0.667839,0.000735,0.204556,0.000549,0.239252,0.000561,0.568633,0.000722,0.109754,0.000290,0.208112,0.034693
combined,0.20,confidence_threshold_shared_control,10,0.157500,0.026611,0.300000,0.013336,0.431154,0.000849,0.836096,0.001170,0.368333,0.001098,0.438240,0.000925,0.359322,0.000635,0.358801,0.000497,0.309494,0.000638,0.378892,0.000839,0.058623,0.000164,-0.455608,0.026181
combined,0.20,mpc_risk_arbitration,10,0.485833,0.027119,0.195833,0.017934,0.234041,0.000781,0.325845,0.001034,0.251441,0.000822,0.318148,0.000920,0.736556,0.000724,0.272753,0.000603,0.219109,0.000690,0.597830,0.000546,0.123828,0.000344,0.180944,0.032137
combined,0.20,pomdp_handoff_policy,10,0.432500,0.033690,0.209167,0.025473,0.271527,0.000530,0.509998,0.001108,0.277063,0.000694,0.357559,0.000730,0.665417,0.000938,0.333139,0.000594,0.229075,0.000345,0.558140,0.000942,0.100121,0.000314,0.045218,0.035532
combined,0.20,recovery_aware_mpc,10,0.480833,0.033122,0.205000,0.026583,0.247853,0.000651,0.373607,0.000966,0.248152,0.000634,0.328658,0.000953,0.785665,0.000759,0.320930,0.000599,0.229310,0.000626,0.588157,0.000761,0.121577,0.000361,0.153721,0.024820
combined,0.40,authority_boundary_v5,10,0.341667,0.020078,0.243333,0.023073,0.335243,0.000578,0.711021,0.001215,0.341625,0.001309,0.457855,0.001628,0.603014,0.000782,0.379504,0.000696,0.286091,0.000936,0.501062,0.001083,0.069871,0.000341,-0.162968,0.015507
combined,0.40,bayesian_authority_allocation,10,0.255000,0.018734,0.278333,0.023506,0.356353,0.000831,0.734862,0.001699,0.377342,0.000977,0.447399,0.001562,0.523020,0.000851,0.372643,0.000842,0.285925,0.000586,0.461464,0.000376,0.070083,0.000414,-0.292507,0.022238
combined,0.40,cbf_safety_filter,10,0.418333,0.032466,0.169167,0.024110,0.286352,0.000686,0.330193,0.001271,0.329950,0.001024,0.378236,0.001588,0.639610,0.000878,0.226609,0.000744,0.276745,0.000637,0.530479,0.000949,0.115709,0.000525,0.092943,0.026318
combined,0.40,confidence_threshold_shared_control,10,0.117500,0.011277,0.319167,0.025426,0.463131,0.000804,0.885409,0.001322,0.430656,0.001165,0.507188,0.001220,0.328782,0.000743,0.379680,0.000777,0.346396,0.000885,0.341110,0.001043,0.064368,0.000119,-0.550097,0.021520
combined,0.40,mpc_risk_arbitration,10,0.434167,0.042063,0.200834,0.022109,0.265432,0.000854,0.375826,0.001303,0.314697,0.001112,0.387703,0.001042,0.708373,0.000936,0.294266,0.000533,0.256224,0.000823,0.560601,0.001253,0.129314,0.000406,0.083461,0.043579
combined,0.40,pomdp_handoff_policy,10,0.361667,0.019660,0.200000,0.022711,0.303008,0.000911,0.558728,0.001231,0.338783,0.001047,0.427539,0.001412,0.637081,0.000994,0.354949,0.000713,0.266702,0.000781,0.520185,0.000640,0.101547,0.000420,-0.062218,0.028803
combined,0.40,recovery_aware_mpc,10,0.423333,0.037389,0.249167,0.026499,0.279156,0.000729,0.422262,0.000972,0.310376,0.000743,0.397859,0.001198,0.757514,0.000821,0.341817,0.000537,0.266264,0.000917,0.550163,0.001018,0.126242,0.000482,0.026734,0.043531
combined,0.60,authority_boundary_v5,10,0.264167,0.049604,0.251667,0.028374,0.362736,0.000678,0.759863,0.001209,0.403112,0.000619,0.526510,0.001116,0.577810,0.000597,0.400598,0.000458,0.323596,0.000447,0.463806,0.001036,0.064607,0.000390,-0.286432,0.055778
combined,0.60,bayesian_authority_allocation,10,0.200833,0.017801,0.297500,0.023613,0.384212,0.000518,0.783884,0.000887,0.438405,0.001027,0.516963,0.001363,0.497859,0.000891,0.393783,0.000910,0.323351,0.000800,0.423715,0.000925,0.065189,0.000261,-0.399532,0.021882
combined,0.60,cbf_safety_filter,10,0.331667,0.028686,0.203333,0.028101,0.312400,0.000645,0.379417,0.001452,0.391429,0.000722,0.445409,0.001379,0.615570,0.000679,0.247146,0.000587,0.313351,0.000436,0.493475,0.000893,0.119714,0.000452,-0.055107,0.027680
combined,0.60,confidence_threshold_shared_control,10,0.070000,0.016728,0.361667,0.029137,0.491750,0.000687,0.933640,0.000871,0.492267,0.000876,0.576398,0.001272,0.303755,0.000980,0.401125,0.000726,0.383526,0.000725,0.304196,0.000699,0.070782,0.000135,-0.664987,0.025728
combined,0.60,mpc_risk_arbitration,10,0.365000,0.025044,0.239167,0.030995,0.291573,0.000550,0.424940,0.001324,0.375646,0.000976,0.456161,0.000871,0.684086,0.001258,0.315094,0.000538,0.293449,0.000481,0.523966,0.001043,0.132264,0.000410,-0.049787,0.023513
combined,0.60,pomdp_handoff_policy,10,0.296667,0.027135,0.231667,0.019600,0.329791,0.000685,0.607133,0.001267,0.400228,0.001056,0.496280,0.001193,0.613342,0.000931,0.375451,0.000720,0.303079,0.000547,0.483295,0.000744,0.100110,0.000356,-0.187194,0.033310
combined,0.60,recovery_aware_mpc,10,0.377500,0.027979,0.239167,0.024476,0.305325,0.000584,0.471099,0.001047,0.371338,0.000805,0.465970,0.001006,0.732749,0.000891,0.362775,0.000661,0.303225,0.000679,0.513717,0.000623,0.128087,0.000489,-0.053166,0.033154
combined,0.80,authority_boundary_v5,10,0.249167,0.020437,0.321667,0.037579,0.384094,0.000269,0.804604,0.000998,0.461723,0.000694,0.586594,0.000859,0.557243,0.000585,0.420605,0.000475,0.358304,0.000698,0.428639,0.000649,0.061224,0.000260,-0.381143,0.026264
combined,0.80,bayesian_authority_allocation,10,0.167500,0.022639,0.325833,0.024159,0.404869,0.000649,0.830143,0.000598,0.497395,0.000941,0.575868,0.001196,0.477255,0.000853,0.414049,0.000604,0.358807,0.000612,0.388020,0.000719,0.064035,0.000145,-0.486880,0.025481
combined,0.80,cbf_safety_filter,10,0.297500,0.014619,0.214167,0.025309,0.333358,0.000780,0.423880,0.001055,0.450005,0.000880,0.506300,0.000876,0.595088,0.000510,0.267142,0.000953,0.347564,0.000628,0.459355,0.000736,0.120991,0.000334,-0.132218,0.019699
combined,0.80,confidence_threshold_shared_control,10,0.022500,0.008796,0.396667,0.029741,0.514573,0.000248,0.974162,0.001310,0.551395,0.000968,0.636164,0.001094,0.281317,0.000682,0.420470,0.000593,0.418885,0.000747,0.268580,0.000728,0.076221,0.000153,-0.769980,0.023145
combined,0.80,mpc_risk_arbitration,10,0.305833,0.030122,0.252500,0.024837,0.313418,0.000548,0.470208,0.001335,0.434144,0.000998,0.516639,0.000920,0.662970,0.000716,0.334759,0.000812,0.328305,0.000325,0.488157,0.001027,0.132137,0.000391,-0.153819,0.036101
combined,0.80,pomdp_handoff_policy,10,0.280833,0.024956,0.265833,0.023028,0.351416,0.001034,0.653695,0.001999,0.458941,0.001075,0.556173,0.001204,0.591354,0.000697,0.395866,0.000613,0.338446,0.000503,0.448865,0.001017,0.095480,0.000544,-0.261174,0.034159
combined,0.80,recovery_aware_mpc,10,0.328333,0.025905,0.268333,0.017182,0.327823,0.000376,0.516090,0.001153,0.430054,0.001276,0.525380,0.000640,0.711728,0.000579,0.382762,0.000428,0.338275,0.000475,0.478588,0.000755,0.127105,0.000338,-0.157043,0.030229
combined,1.00,authority_boundary_v5,10,0.206667,0.020049,0.286667,0.025327,0.398043,0.000632,0.841310,0.001538,0.510166,0.001082,0.598318,0.000819,0.542924,0.000682,0.433904,0.000686,0.389121,0.000595,0.398445,0.000880,0.060951,0.000128,-0.425873,0.019045
combined,1.00,bayesian_authority_allocation,10,0.140833,0.017294,0.319167,0.014619,0.419182,0.000416,0.865687,0.000802,0.545760,0.000696,0.588778,0.000855,0.463587,0.000707,0.426855,0.000828,0.389524,0.000573,0.358278,0.000921,0.066201,0.000136,-0.533184,0.015282
combined,1.00,cbf_safety_filter,10,0.276667,0.022944,0.216667,0.027222,0.346043,0.000447,0.460164,0.000788,0.498700,0.000857,0.518605,0.000693,0.582325,0.000719,0.281124,0.000559,0.379505,0.000460,0.429001,0.000661,0.119479,0.000235,-0.178168,0.027974
combined,1.00,confidence_threshold_shared_control,10,0.005000,0.003611,0.406667,0.028892,0.526214,0.000422,0.995296,0.000659,0.598815,0.000649,0.648745,0.000852,0.268340,0.000919,0.431582,0.000522,0.449426,0.000539,0.238140,0.001085,0.079990,0.000086,-0.812909,0.018805
combined,1.00,mpc_risk_arbitration,10,0.294167,0.037803,0.250000,0.020078,0.325941,0.000563,0.505019,0.000596,0.482328,0.000836,0.528793,0.000823,0.650077,0.000717,0.348125,0.000470,0.359534,0.000904,0.458146,0.000816,0.129825,0.000290,-0.186957,0.039508
combined,1.00,pomdp_handoff_policy,10,0.244167,0.013567,0.278333,0.012223,0.364298,0.000737,0.689074,0.000742,0.507679,0.000861,0.567947,0.001056,0.577853,0.000686,0.409573,0.000405,0.369649,0.000747,0.417788,0.000632,0.090176,0.000264,-0.328963,0.014861
combined,1.00,recovery_aware_mpc,10,0.302500,0.025074,0.275833,0.023912,0.340210,0.000439,0.552644,0.000956,0.478156,0.000808,0.537433,0.000643,0.698805,0.000749,0.396162,0.000637,0.369601,0.000597,0.448155,0.000795,0.123279,0.000340,-0.210912,0.023280
contact_mode,0.00,authority_boundary_v5,10,0.309167,0.012283,0.230833,0.023613,0.328312,0.000769,0.709605,0.001162,0.341507,0.000634,0.457848,0.000844,0.607463,0.000749,0.380781,0.000549,0.282718,0.000697,0.504105,0.000714,0.066012,0.000430,-0.185397,0.020270
contact_mode,0.00,bayesian_authority_allocation,10,0.263333,0.026133,0.215833,0.034213,0.348734,0.000662,0.733509,0.001003,0.377384,0.001110,0.446681,0.000831,0.529083,0.001199,0.373547,0.000815,0.282100,0.000858,0.463763,0.000858,0.066373,0.000300,-0.242720,0.039425
contact_mode,0.00,cbf_safety_filter,10,0.445000,0.021114,0.151667,0.018511,0.279924,0.000609,0.327459,0.001345,0.329777,0.000704,0.377844,0.000786,0.643618,0.001167,0.226717,0.000521,0.271983,0.000817,0.534410,0.000854,0.110059,0.000584,0.133108,0.027146
contact_mode,0.00,confidence_threshold_shared_control,10,0.117500,0.021149,0.297500,0.020523,0.455715,0.000555,0.882992,0.001031,0.429997,0.000987,0.507684,0.001012,0.335070,0.000892,0.380583,0.000423,0.342726,0.000240,0.344104,0.000892,0.060541,0.000122,-0.533771,0.026037
contact_mode,0.00,mpc_risk_arbitration,10,0.426667,0.019900,0.214167,0.022977,0.258798,0.000736,0.373551,0.000800,0.314036,0.001188,0.388119,0.001074,0.713697,0.001147,0.295043,0.000727,0.251688,0.000626,0.564202,0.000861,0.122450,0.000349,0.070303,0.021273
contact_mode,0.00,pomdp_handoff_policy,10,0.374167,0.021428,0.205833,0.018391,0.296195,0.000568,0.556798,0.000848,0.338646,0.000659,0.427595,0.001222,0.642286,0.001020,0.355116,0.000899,0.261907,0.000224,0.523927,0.001098,0.096516,0.000351,-0.050754,0.018747
contact_mode,0.00,recovery_aware_mpc,10,0.445000,0.022737,0.230000,0.034278,0.272999,0.000380,0.420052,0.001201,0.310055,0.000543,0.398568,0.001465,0.761861,0.000777,0.342355,0.000538,0.262026,0.000343,0.553905,0.000825,0.119893,0.000592,0.062614,0.030990
contact_mode,0.20,authority_boundary_v5,10,0.333333,0.039934,0.234167,0.016049,0.330967,0.000524,0.708678,0.001401,0.341709,0.000688,0.457972,0.000880,0.606241,0.000742,0.380589,0.000694,0.282173,0.000653,0.504197,0.000857,0.068051,0.000205,-0.163864,0.037507
contact_mode,0.20,bayesian_authority_allocation,10,0.295833,0.035639,0.260833,0.028917,0.352544,0.000836,0.733447,0.001814,0.376660,0.000913,0.447468,0.001166,0.526507,0.000868,0.373068,0.000630,0.282268,0.000681,0.464352,0.000782,0.068302,0.000475,-0.239195,0.043347
contact_mode,0.20,cbf_safety_filter,10,0.430833,0.025074,0.160833,0.020086,0.282434,0.000647,0.328384,0.000964,0.329960,0.000637,0.378278,0.001800,0.642478,0.000799,0.227193,0.000728,0.271627,0.000596,0.533812,0.000658,0.112170,0.000586,0.112188,0.021787
contact_mode,0.20,confidence_threshold_shared_control,10,0.130000,0.020832,0.325000,0.031181,0.459542,0.000556,0.883610,0.001033,0.431620,0.001077,0.507922,0.000936,0.332771,0.000812,0.381150,0.000944,0.342038,0.000472,0.344522,0.000379,0.062054,0.000131,-0.539955,0.037179
