stress_axis,stress_level,method,n,task_success,task_success_ci95,safety_violation,safety_violation_ci95,authority_regret,authority_regret_ci95,human_burden,human_burden_ci95,late_handoff,late_handoff_ci95,handoff_churn,handoff_churn_ci95,recovery_success,recovery_success_ci95,intervention_cost,intervention_cost_ci95,boundary_calibration_error,boundary_calibration_error_ci95,override_precision,override_precision_ci95,unsafe_autonomy,unsafe_autonomy_ci95,robust_utility,robust_utility_ci95
authority_churn,0.00,authority_boundary_v5,10,0.313333,0.027461,0.229167,0.024257,0.325970,0.000673,0.709151,0.001712,0.341355,0.001763,0.378589,0.001485,0.611259,0.001047,0.374079,0.000926,0.281712,0.001085,0.504429,0.001426,0.067107,0.000388,-0.168993,0.035077
authority_churn,0.00,bayesian_authority_allocation,10,0.260833,0.032762,0.244167,0.022189,0.345363,0.000618,0.733718,0.001067,0.376309,0.001261,0.368362,0.001251,0.531458,0.001024,0.367392,0.000790,0.281684,0.000756,0.464290,0.000586,0.067318,0.000237,-0.251618,0.031145
authority_churn,0.00,cbf_safety_filter,10,0.415833,0.014700,0.170000,0.028624,0.276058,0.000608,0.327150,0.001565,0.329631,0.001420,0.297978,0.001011,0.648925,0.000813,0.220540,0.000574,0.272130,0.000731,0.533934,0.001176,0.109745,0.000199,0.104265,0.020094
authority_churn,0.00,confidence_threshold_shared_control,10,0.138333,0.012463,0.321667,0.029137,0.452939,0.001027,0.883917,0.001498,0.430271,0.001482,0.428141,0.001685,0.338747,0.001013,0.374632,0.000461,0.341431,0.001144,0.344927,0.001313,0.061966,0.000115,-0.517058,0.018911
authority_churn,0.00,mpc_risk_arbitration,10,0.458333,0.020516,0.180833,0.020667,0.254934,0.000627,0.373252,0.000902,0.314371,0.001270,0.307897,0.001425,0.716991,0.000633,0.287780,0.000376,0.251375,0.000792,0.563998,0.000980,0.123798,0.000324,0.134237,0.012647
authority_churn,0.00,pomdp_handoff_policy,10,0.381667,0.018985,0.223333,0.027091,0.293332,0.000740,0.556984,0.001553,0.339054,0.001024,0.347288,0.001139,0.645602,0.001286,0.348899,0.000659,0.262095,0.000564,0.523843,0.001191,0.097343,0.000290,-0.042974,0.030499
authority_churn,0.00,recovery_aware_mpc,10,0.444167,0.031470,0.202500,0.020379,0.269585,0.000380,0.420720,0.001141,0.311162,0.001381,0.317782,0.001360,0.765126,0.000947,0.335918,0.000621,0.262429,0.000895,0.554410,0.000896,0.120585,0.000315,0.089946,0.036936
authority_churn,0.20,authority_boundary_v5,10,0.313333,0.022996,0.265833,0.022639,0.329944,0.000863,0.708681,0.000628,0.341362,0.001439,0.418660,0.001390,0.607800,0.001090,0.377413,0.000647,0.282447,0.000723,0.503980,0.000898,0.068223,0.000196,-0.198027,0.018932
authority_churn,0.20,bayesian_authority_allocation,10,0.261667,0.026805,0.256667,0.020917,0.350048,0.000790,0.733476,0.001554,0.376852,0.001278,0.407933,0.001084,0.528337,0.001126,0.370790,0.000869,0.281837,0.000441,0.464142,0.000685,0.068341,0.000431,-0.265073,0.033970
authority_churn,0.20,cbf_safety_filter,10,0.402500,0.026566,0.173333,0.024324,0.280826,0.000733,0.327828,0.001231,0.329640,0.000937,0.338764,0.001013,0.644641,0.001098,0.224130,0.000639,0.271864,0.000607,0.534335,0.000909,0.112275,0.000388,0.081912,0.036042
authority_churn,0.20,confidence_threshold_shared_control,10,0.135833,0.024354,0.330833,0.031751,0.457457,0.000578,0.883440,0.001054,0.431072,0.000699,0.468162,0.000895,0.334330,0.000823,0.377227,0.000663,0.341724,0.000542,0.344515,0.000946,0.062657,0.000169,-0.531801,0.039706
authority_churn,0.20,mpc_risk_arbitration,10,0.432500,0.017294,0.210000,0.028478,0.258914,0.000555,0.374161,0.001172,0.314730,0.001035,0.348148,0.000862,0.713382,0.000957,0.291486,0.000614,0.251748,0.000393,0.564021,0.000563,0.125723,0.000370,0.083561,0.024061
authority_churn,0.20,pomdp_handoff_policy,10,0.345833,0.027574,0.217500,0.026275,0.296860,0.000920,0.557698,0.001134,0.338777,0.000873,0.388342,0.000836,0.641927,0.000642,0.352272,0.000847,0.261521,0.000589,0.524700,0.000695,0.098620,0.000427,-0.081758,0.037752
authority_churn,0.20,recovery_aware_mpc,10,0.417500,0.034558,0.218333,0.011626,0.273546,0.000482,0.420699,0.001048,0.310382,0.001523,0.358042,0.000965,0.761745,0.000840,0.339165,0.000579,0.261589,0.000446,0.554682,0.000700,0.122740,0.000539,0.047176,0.034820
authority_churn,0.40,authority_boundary_v5,10,0.320833,0.035805,0.238333,0.024494,0.334118,0.000777,0.709023,0.001306,0.341109,0.001124,0.461688,0.001109,0.603231,0.000740,0.381520,0.000614,0.283981,0.000627,0.502908,0.000794,0.069245,0.000254,-0.180502,0.035218
authority_churn,0.40,bayesian_authority_allocation,10,0.270000,0.038204,0.254167,0.027788,0.354425,0.000471,0.734440,0.000901,0.376916,0.000923,0.450841,0.000778,0.524047,0.000546,0.374298,0.000568,0.283848,0.000666,0.462525,0.000822,0.069211,0.000236,-0.262369,0.046745
authority_churn,0.40,cbf_safety_filter,10,0.405000,0.024854,0.163333,0.021114,0.285338,0.000763,0.328770,0.000945,0.330037,0.000711,0.381468,0.001194,0.640730,0.000987,0.227268,0.000677,0.273814,0.001045,0.533717,0.001076,0.114709,0.000505,0.083444,0.031351
authority_churn,0.40,confidence_threshold_shared_control,10,0.108333,0.030605,0.344167,0.021372,0.462131,0.000458,0.883893,0.001111,0.431146,0.000985,0.511948,0.001068,0.330701,0.000982,0.380954,0.000603,0.344322,0.000838,0.342366,0.000695,0.063434,0.000203,-0.574774,0.029065
