stress_axis,stress_level,method,metric,mean,ci95,n
authority_churn,0.00,authority_boundary_v5,task_success,0.313333,0.027461,10
authority_churn,0.00,authority_boundary_v5,safety_violation,0.229167,0.024257,10
authority_churn,0.00,authority_boundary_v5,authority_regret,0.325970,0.000673,10
authority_churn,0.00,authority_boundary_v5,human_burden,0.709151,0.001712,10
authority_churn,0.00,authority_boundary_v5,late_handoff,0.341355,0.001763,10
authority_churn,0.00,authority_boundary_v5,handoff_churn,0.378589,0.001485,10
authority_churn,0.00,authority_boundary_v5,recovery_success,0.611259,0.001047,10
authority_churn,0.00,authority_boundary_v5,intervention_cost,0.374079,0.000926,10
authority_churn,0.00,authority_boundary_v5,boundary_calibration_error,0.281712,0.001085,10
authority_churn,0.00,authority_boundary_v5,override_precision,0.504429,0.001426,10
authority_churn,0.00,authority_boundary_v5,unsafe_autonomy,0.067107,0.000388,10
authority_churn,0.00,authority_boundary_v5,robust_utility,-0.168993,0.035077,10
authority_churn,0.00,bayesian_authority_allocation,task_success,0.260833,0.032762,10
authority_churn,0.00,bayesian_authority_allocation,safety_violation,0.244167,0.022189,10
authority_churn,0.00,bayesian_authority_allocation,authority_regret,0.345363,0.000618,10
authority_churn,0.00,bayesian_authority_allocation,human_burden,0.733718,0.001067,10
authority_churn,0.00,bayesian_authority_allocation,late_handoff,0.376309,0.001261,10
authority_churn,0.00,bayesian_authority_allocation,handoff_churn,0.368362,0.001251,10
authority_churn,0.00,bayesian_authority_allocation,recovery_success,0.531458,0.001024,10
authority_churn,0.00,bayesian_authority_allocation,intervention_cost,0.367392,0.000790,10
authority_churn,0.00,bayesian_authority_allocation,boundary_calibration_error,0.281684,0.000756,10
authority_churn,0.00,bayesian_authority_allocation,override_precision,0.464290,0.000586,10
authority_churn,0.00,bayesian_authority_allocation,unsafe_autonomy,0.067318,0.000237,10
authority_churn,0.00,bayesian_authority_allocation,robust_utility,-0.251618,0.031145,10
authority_churn,0.00,cbf_safety_filter,task_success,0.415833,0.014700,10
authority_churn,0.00,cbf_safety_filter,safety_violation,0.170000,0.028624,10
authority_churn,0.00,cbf_safety_filter,authority_regret,0.276058,0.000608,10
authority_churn,0.00,cbf_safety_filter,human_burden,0.327150,0.001565,10
authority_churn,0.00,cbf_safety_filter,late_handoff,0.329631,0.001420,10
authority_churn,0.00,cbf_safety_filter,handoff_churn,0.297978,0.001011,10
