split,reference,metric,mean_diff,ci95,lower95,upper95,n
authority_churn_shift,pomdp_handoff_policy,recovery_success,-0.033638,0.000999,-0.034637,-0.032639,10
authority_churn_shift,pomdp_handoff_policy,robust_utility,-0.089477,0.028590,-0.118067,-0.060886,10
authority_churn_shift,pomdp_handoff_policy,safety_violation,-0.009896,0.017044,-0.026940,0.007148,10
authority_churn_shift,pomdp_handoff_policy,task_success,-0.041667,0.025690,-0.067357,-0.015976,10
authority_churn_shift,pomdp_handoff_policy,unsafe_autonomy,-0.027487,0.000439,-0.027926,-0.027048,10
authority_churn_shift,recovery_aware_mpc,authority_regret,0.055329,0.000690,0.054639,0.056020,10
authority_churn_shift,recovery_aware_mpc,boundary_calibration_error,0.019924,0.000585,0.019339,0.020509,10
authority_churn_shift,recovery_aware_mpc,handoff_churn,0.060246,0.000838,0.059408,0.061084,10
authority_churn_shift,recovery_aware_mpc,human_burden,0.289343,0.000840,0.288503,0.290182,10
authority_churn_shift,recovery_aware_mpc,intervention_cost,0.037602,0.000498,0.037104,0.038101,10
authority_churn_shift,recovery_aware_mpc,late_handoff,0.031756,0.000818,0.030938,0.032575,10
authority_churn_shift,recovery_aware_mpc,override_precision,-0.050072,0.001025,-0.051097,-0.049047,10
authority_churn_shift,recovery_aware_mpc,recovery_success,-0.153640,0.000889,-0.154529,-0.152751,10
authority_churn_shift,recovery_aware_mpc,robust_utility,-0.225272,0.029651,-0.254923,-0.195621,10
authority_churn_shift,recovery_aware_mpc,safety_violation,0.020313,0.017247,0.003065,0.037560,10
authority_churn_shift,recovery_aware_mpc,task_success,-0.101042,0.026367,-0.127408,-0.074675,10
authority_churn_shift,recovery_aware_mpc,unsafe_autonomy,-0.048860,0.000375,-0.049235,-0.048485,10
authority_churn_shift,uncertainty_triggered_handoff,authority_regret,-0.041518,0.000753,-0.042271,-0.040766,10
authority_churn_shift,uncertainty_triggered_handoff,boundary_calibration_error,-0.029795,0.000586,-0.030381,-0.029208,10
authority_churn_shift,uncertainty_triggered_handoff,handoff_churn,-0.079504,0.000804,-0.080308,-0.078701,10
authority_churn_shift,uncertainty_triggered_handoff,human_burden,-0.096658,0.001100,-0.097758,-0.095558,10
authority_churn_shift,uncertainty_triggered_handoff,intervention_cost,-0.001041,0.000765,-0.001806,-0.000276,10
authority_churn_shift,uncertainty_triggered_handoff,late_handoff,-0.028711,0.001009,-0.029720,-0.027702,10
