split,budget,method,seed,n,coverage,accepted_success,accepted_safety_violation,accepted_regret,accepted_utility
combined_authority_stress,0.02,authority_boundary_v5,0,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,authority_boundary_v5,1,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,authority_boundary_v5,2,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,authority_boundary_v5,3,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,authority_boundary_v5,4,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,authority_boundary_v5,5,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,authority_boundary_v5,6,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,authority_boundary_v5,7,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,authority_boundary_v5,8,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,authority_boundary_v5,9,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,bayesian_authority_allocation,0,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,bayesian_authority_allocation,1,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,bayesian_authority_allocation,2,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,bayesian_authority_allocation,3,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,bayesian_authority_allocation,4,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,bayesian_authority_allocation,5,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,bayesian_authority_allocation,6,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,bayesian_authority_allocation,7,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,bayesian_authority_allocation,8,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,bayesian_authority_allocation,9,144,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,cbf_safety_filter,0,144,0.000000,0.000000,0.000000,0.000000,0.000000
