method,task,split,seed,episode,stress_level,task_success,safety_violation,authority_regret,unnecessary_handoff,late_handoff,human_burden,recovery_success,smoothness_cost,completion_time,handoffs,policy_fraction,controller_fraction,human_fraction,fusion_fraction,damage,progress
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,0,0.00,1,1,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.656337257156498,0,0.0,0.0,1.0,0.0,0.4455424814181992,0.6974650971374017
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,1,0.00,1,0,0.0454614460460123,0.0,0.0,0.8999999999999999,1,0.045,9.722476198836832,1,0.1,0.0,0.9,0.0,0.12265141425652794,0.6990095204652675
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,2,0.00,1,1,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.672140843516667,0,0.0,0.0,1.0,0.0,0.3088902020057416,0.6911436625933334
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,3,0.00,1,1,0.041959611990720715,0.5,0.0,0.8999999999999999,1,0.09,9.872817990114948,2,0.1,0.0,0.9,0.0,0.29819166677233067,0.7028728039540213
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,4,0.00,1,0,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.657933007924068,0,0.0,0.0,1.0,0.0,0.11081184677049255,0.696826796830373
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,5,0.00,1,0,0.046830174886493346,1.0,0.0,0.8999999999999999,1,0.045,9.722716090426514,1,0.1,0.0,0.9,0.0,0.12122478414595783,0.6989135638293946
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,6,0.00,1,1,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.670252434333213,0,0.0,0.0,1.0,0.0,0.44813851368511237,0.6918990262667153
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,7,0.00,1,0,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.674124461150694,0,0.0,0.0,1.0,0.0,0.11339411729853688,0.6903502155397231
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,8,0.00,1,1,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.674164618208806,0,0.0,0.0,1.0,0.0,0.28346167076518636,0.690334152716478
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,9,0.00,1,0,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.665692265657349,0,0.0,0.0,1.0,0.0,0.1119930528205018,0.6937230937370612
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,10,0.00,1,0,0.044055825948875804,0.5,0.0,0.8999999999999999,1,0.09,9.862277449205914,2,0.1,0.0,0.9,0.0,0.1213838691397343,0.7070890203176349
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,11,0.00,1,0,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.662664852847039,0,0.0,0.0,1.0,0.0,0.11186887805336124,0.6949340588611851
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,12,0.00,1,1,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.663771677684947,0,0.0,0.0,1.0,0.0,0.2623403088756385,0.6944913289260215
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,13,0.00,1,0,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.649000117306171,0,0.0,0.0,1.0,0.0,0.11051216578231296,0.7003999530775314
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,14,0.00,1,0,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.646761044324965,0,0.0,0.0,1.0,0.0,0.10906203558627406,0.7012955822700144
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,15,0.00,1,1,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.674537799209274,0,0.0,0.0,1.0,0.0,0.48147118261362276,0.6901848803162904
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,16,0.00,1,0,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.643658066749385,0,0.0,0.0,1.0,0.0,0.11198720995090007,0.7025367733002462
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,17,0.00,1,0,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.672495404497278,0,0.0,0.0,1.0,0.0,0.11183476909472102,0.6910018382010888
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,18,0.00,1,1,0.0,0.0,0.0,0.9999999999999999,1,0.0,9.655007421921805,0,0.0,0.0,1.0,0.0,0.29206876339164745,0.6979970312312779
confidence_threshold_shared_control,fragile_reaching,combined_authority_stress,0,19,0.00,1,0,0.04056428640000156,0.5,0.0,0.8999999999999999,1,0.09,9.884658536767436,2,0.1,0.0,0.9,0.0,0.12573947477327307,0.6981365852930259
