split,ablation,n,task_success,task_success_ci95,safety_violation,safety_violation_ci95,authority_regret,authority_regret_ci95,human_burden,human_burden_ci95,late_handoff,late_handoff_ci95,handoff_churn,handoff_churn_ci95,recovery_success,recovery_success_ci95,intervention_cost,intervention_cost_ci95,boundary_calibration_error,boundary_calibration_error_ci95,override_precision,override_precision_ci95,unsafe_autonomy,unsafe_autonomy_ci95,robust_utility,robust_utility_ci95
combined_authority_stress,confidence_only_boundary,10,0.122024,0.017326,0.310119,0.021261,0.466759,0.000597,0.843535,0.000850,0.430027,0.000903,0.517739,0.001034,0.330742,0.000928,0.355480,0.000354,0.352398,0.000762,0.324665,0.000827,0.063702,0.000097,-0.529410,0.022861
combined_authority_stress,full_authority_boundary_v5,10,0.311905,0.020445,0.220238,0.015940,0.333086,0.000820,0.709123,0.001670,0.341413,0.000933,0.457461,0.000599,0.604682,0.000661,0.380433,0.000705,0.281905,0.000469,0.504476,0.000607,0.068765,0.000351,-0.177294,0.025600
combined_authority_stress,minus_boundary_uncertainty,10,0.300000,0.016517,0.282143,0.031555,0.367740,0.000613,0.681753,0.001449,0.353912,0.000905,0.477258,0.001131,0.555741,0.000704,0.358118,0.000557,0.332236,0.000644,0.454125,0.001220,0.086166,0.000330,-0.235734,0.025873
combined_authority_stress,minus_consequence_risk_model,10,0.254167,0.019680,0.316667,0.018141,0.393056,0.000725,0.683259,0.000769,0.355089,0.001026,0.447586,0.000974,0.533696,0.000411,0.355880,0.000569,0.311685,0.000496,0.444170,0.001214,0.096499,0.000344,-0.307830,0.023689
combined_authority_stress,minus_handoff_hysteresis,10,0.334524,0.030013,0.238691,0.018443,0.340503,0.000527,0.729337,0.001205,0.352071,0.001266,0.597410,0.001246,0.581156,0.000769,0.415015,0.000538,0.281940,0.000618,0.484203,0.000837,0.064317,0.000289,-0.196660,0.032954
combined_authority_stress,minus_human_burden_model,10,0.338095,0.020267,0.261309,0.022706,0.320705,0.000499,0.898162,0.001137,0.340259,0.001146,0.466926,0.000860,0.612576,0.000685,0.439654,0.000632,0.292123,0.000512,0.494541,0.000950,0.049703,0.000134,-0.225084,0.028299
combined_authority_stress,minus_intent_ambiguity_gate,10,0.370238,0.028301,0.256548,0.016632,0.297892,0.000703,0.518011,0.000483,0.329110,0.000790,0.407138,0.001036,0.629376,0.000621,0.317859,0.000418,0.292198,0.000468,0.514298,0.000840,0.119797,0.000180,-0.070567,0.029658
combined_authority_stress,minus_recovery_feasibility,10,0.297619,0.018157,0.245238,0.022054,0.354563,0.000781,0.689563,0.001049,0.353874,0.000865,0.447656,0.000908,0.442572,0.000637,0.346565,0.000351,0.292141,0.000527,0.473583,0.000753,0.073680,0.000219,-0.218154,0.022363
combined_authority_stress,mpc_only_boundary,10,0.418452,0.018735,0.205357,0.018752,0.275832,0.000534,0.383313,0.000559,0.313077,0.000951,0.387612,0.000973,0.720275,0.000681,0.305409,0.000616,0.262175,0.000604,0.554807,0.000662,0.125343,0.000317,0.060653,0.026168
combined_authority_stress,safety_only_boundary,10,0.403571,0.024398,0.168452,0.016866,0.286010,0.000745,0.327814,0.000972,0.328578,0.000900,0.377657,0.000671,0.650165,0.000524,0.236389,0.000615,0.281978,0.000828,0.523535,0.001011,0.121953,0.000408,0.079436,0.022525
low_signal_high_risk_shift,confidence_only_boundary,10,0.151191,0.014363,0.333929,0.018606,0.454489,0.000616,0.826696,0.000789,0.404110,0.000550,0.475153,0.000659,0.341636,0.000696,0.340929,0.000620,0.362769,0.000730,0.312621,0.000406,0.064211,0.000121,-0.496312,0.020479
low_signal_high_risk_shift,full_authority_boundary_v5,10,0.345238,0.030818,0.249405,0.013962,0.321584,0.000543,0.693181,0.000955,0.314960,0.000757,0.414581,0.000611,0.615261,0.000962,0.366729,0.000473,0.292531,0.000551,0.492624,0.000597,0.071967,0.000267,-0.143748,0.033622
low_signal_high_risk_shift,minus_boundary_uncertainty,10,0.337500,0.017221,0.270238,0.020297,0.356048,0.000586,0.665090,0.000947,0.328116,0.000948,0.434794,0.001179,0.567401,0.000443,0.343864,0.000484,0.342590,0.000545,0.442816,0.001213,0.089823,0.000293,-0.172349,0.015015
low_signal_high_risk_shift,minus_consequence_risk_model,10,0.294048,0.012074,0.306548,0.021740,0.380635,0.000673,0.666103,0.000961,0.329739,0.001135,0.404728,0.000513,0.545103,0.000645,0.341373,0.000372,0.322809,0.000477,0.433169,0.000852,0.100588,0.000320,-0.242890,0.015347
low_signal_high_risk_shift,minus_handoff_hysteresis,10,0.363690,0.028121,0.233929,0.023849,0.328688,0.000577,0.713009,0.001030,0.325277,0.000482,0.554263,0.000983,0.592484,0.000470,0.400923,0.000639,0.292989,0.000731,0.471998,0.000558,0.067360,0.000289,-0.145889,0.023855
low_signal_high_risk_shift,minus_human_burden_model,10,0.334524,0.022259,0.253571,0.016147,0.309364,0.000799,0.882380,0.000797,0.313769,0.001223,0.425345,0.000347,0.623267,0.000449,0.426008,0.000464,0.302998,0.000665,0.482765,0.000739,0.049213,0.000127,-0.205786,0.022209
low_signal_high_risk_shift,minus_intent_ambiguity_gate,10,0.401190,0.027837,0.236905,0.023255,0.286575,0.000533,0.501584,0.001073,0.302637,0.000705,0.364542,0.000787,0.641065,0.000800,0.303822,0.000576,0.303007,0.000573,0.502030,0.000375,0.122729,0.000342,-0.008978,0.033318
low_signal_high_risk_shift,minus_recovery_feasibility,10,0.298810,0.028140,0.239881,0.020434,0.342999,0.000592,0.672306,0.000958,0.327324,0.000933,0.404701,0.000674,0.453800,0.000547,0.332627,0.000626,0.302746,0.000516,0.462789,0.000742,0.076892,0.000265,-0.194914,0.023157
low_signal_high_risk_shift,mpc_only_boundary,10,0.441667,0.034731,0.208333,0.016407,0.264186,0.000644,0.366632,0.001109,0.287113,0.000976,0.344619,0.000714,0.731365,0.000744,0.291605,0.000464,0.273043,0.000486,0.542689,0.000844,0.127523,0.000330,0.100518,0.036841
low_signal_high_risk_shift,safety_only_boundary,10,0.446429,0.025913,0.168452,0.018573,0.274452,0.000371,0.310890,0.001145,0.302082,0.000667,0.334677,0.000651,0.660944,0.000576,0.222862,0.000451,0.293121,0.000435,0.511663,0.000742,0.123456,0.000468,0.140856,0.025303
