split,budget,method,n,coverage,coverage_ci95,accepted_success,accepted_success_ci95,accepted_safety_violation,accepted_safety_violation_ci95,accepted_regret,accepted_regret_ci95,accepted_utility,accepted_utility_ci95
combined_authority_stress,0.02,authority_boundary_v5,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,bayesian_authority_allocation,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,cbf_safety_filter,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,mpc_risk_arbitration,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,pomdp_handoff_policy,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.02,recovery_aware_mpc,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.05,authority_boundary_v5,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.05,bayesian_authority_allocation,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.05,cbf_safety_filter,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.05,mpc_risk_arbitration,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.05,pomdp_handoff_policy,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.05,recovery_aware_mpc,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.10,authority_boundary_v5,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.10,bayesian_authority_allocation,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.10,cbf_safety_filter,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.10,mpc_risk_arbitration,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.10,pomdp_handoff_policy,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.10,recovery_aware_mpc,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.20,authority_boundary_v5,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.20,bayesian_authority_allocation,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.20,cbf_safety_filter,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.20,mpc_risk_arbitration,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.20,pomdp_handoff_policy,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
combined_authority_stress,0.20,recovery_aware_mpc,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.02,authority_boundary_v5,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.02,bayesian_authority_allocation,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.02,cbf_safety_filter,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.02,mpc_risk_arbitration,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.02,pomdp_handoff_policy,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.02,recovery_aware_mpc,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.05,authority_boundary_v5,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.05,bayesian_authority_allocation,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.05,cbf_safety_filter,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.05,mpc_risk_arbitration,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.05,pomdp_handoff_policy,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.05,recovery_aware_mpc,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.10,authority_boundary_v5,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.10,bayesian_authority_allocation,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
low_signal_high_risk_shift,0.10,cbf_safety_filter,10,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
