method,seed,n,task_success,safety_violation,authority_regret,human_burden,late_handoff,handoff_churn,recovery_success,intervention_cost,boundary_calibration_error,override_precision,unsafe_autonomy,robust_utility
controller_fusion_prior,1,4,0.078125,0.382812,0.560658,0.438154,0.385481,0.439980,0.204938,0.220509,0.331767,0.265593,0.251775,-0.524671
controller_fusion_prior,2,4,0.065104,0.397135,0.560520,0.437760,0.384810,0.440165,0.206072,0.220571,0.332699,0.264797,0.252657,-0.546273
controller_fusion_prior,3,4,0.096354,0.372396,0.560386,0.437262,0.383661,0.439200,0.206094,0.220230,0.332110,0.265419,0.252140,-0.499196
controller_fusion_prior,4,4,0.082032,0.367188,0.560687,0.437452,0.385581,0.439112,0.204966,0.220048,0.331991,0.264683,0.252251,-0.510779
controller_fusion_prior,5,4,0.080729,0.355469,0.560020,0.437188,0.384317,0.439346,0.205833,0.220008,0.331953,0.265407,0.252619,-0.504338
controller_fusion_prior,6,4,0.119791,0.346354,0.559892,0.437505,0.384491,0.440345,0.205317,0.220059,0.332729,0.265262,0.252493,-0.459862
controller_fusion_prior,7,4,0.083334,0.384115,0.560567,0.437001,0.385576,0.440117,0.205183,0.220880,0.332550,0.263927,0.252642,-0.520019
controller_fusion_prior,8,4,0.079427,0.373698,0.560835,0.439251,0.385602,0.439732,0.204627,0.220985,0.332556,0.263872,0.251873,-0.518087
controller_fusion_prior,9,4,0.092448,0.358073,0.559627,0.437770,0.384848,0.439829,0.205417,0.220472,0.332330,0.264400,0.252015,-0.494498
fixed_human_teleoperation,0,4,0.130209,0.307291,0.401973,0.999832,0.400704,0.309606,0.403361,0.454073,0.302351,0.445008,0.052893,-0.515169
fixed_human_teleoperation,1,4,0.151042,0.256510,0.402598,0.999861,0.401108,0.310522,0.403896,0.453762,0.302659,0.445610,0.052931,-0.463115
fixed_human_teleoperation,2,4,0.138021,0.251302,0.403364,0.999764,0.401670,0.309614,0.404054,0.453843,0.302965,0.444494,0.052951,-0.473052
fixed_human_teleoperation,3,4,0.122396,0.251302,0.402029,0.999707,0.399477,0.308966,0.403654,0.453896,0.301494,0.446055,0.053023,-0.487938
fixed_human_teleoperation,4,4,0.154948,0.257812,0.403058,0.999849,0.400941,0.310975,0.403045,0.454432,0.303003,0.444217,0.052908,-0.460291
fixed_human_teleoperation,5,4,0.143229,0.231771,0.402474,0.999799,0.400523,0.309109,0.403439,0.454404,0.302600,0.445053,0.052955,-0.455381
fixed_human_teleoperation,6,4,0.131510,0.274740,0.402901,0.999708,0.400159,0.309531,0.404977,0.454875,0.302371,0.445327,0.052889,-0.493742
fixed_human_teleoperation,7,4,0.135417,0.294271,0.403168,0.999852,0.400670,0.309847,0.403655,0.454143,0.302743,0.444881,0.053067,-0.502198
fixed_human_teleoperation,8,4,0.164062,0.251302,0.403461,0.999809,0.401399,0.309800,0.403398,0.453949,0.302882,0.444055,0.052881,-0.447087
fixed_human_teleoperation,9,4,0.128906,0.289062,0.403034,0.999793,0.399634,0.310254,0.403541,0.454167,0.301795,0.444731,0.052970,-0.505326
fixed_policy_authority,0,4,0.016927,0.442708,0.632567,0.268167,0.538947,0.319706,0.008626,0.135022,0.392471,0.045661,0.402466,-0.617463
fixed_policy_authority,1,4,0.020834,0.404948,0.632864,0.268884,0.540055,0.320828,0.008866,0.135491,0.392583,0.045940,0.402286,-0.590731
fixed_policy_authority,2,4,0.016927,0.442708,0.632384,0.267880,0.540229,0.318819,0.008055,0.135487,0.392213,0.045529,0.402832,-0.617539
fixed_policy_authority,3,4,0.018229,0.434896,0.631512,0.267444,0.538157,0.319311,0.009130,0.134514,0.392490,0.046000,0.402617,-0.610614
fixed_policy_authority,4,4,0.016927,0.399740,0.633196,0.269373,0.539697,0.320126,0.008635,0.135637,0.392364,0.045339,0.402197,-0.591500
fixed_policy_authority,5,4,0.013021,0.427083,0.632802,0.268796,0.538070,0.317907,0.008280,0.135406,0.392107,0.046783,0.402624,-0.611600
fixed_policy_authority,6,4,0.026042,0.397135,0.632188,0.267336,0.539373,0.319876,0.008591,0.135010,0.392718,0.045671,0.402999,-0.579889
fixed_policy_authority,7,4,0.015625,0.417969,0.632850,0.268353,0.539928,0.320557,0.008505,0.135185,0.392140,0.045927,0.402450,-0.603826
fixed_policy_authority,8,4,0.016927,0.410157,0.632729,0.269021,0.539886,0.320811,0.008312,0.136032,0.392729,0.046041,0.402666,-0.597934
fixed_policy_authority,9,4,0.020834,0.408854,0.632818,0.267850,0.539154,0.319440,0.008333,0.135052,0.392004,0.045569,0.402680,-0.592581
mpc_risk_arbitration,0,4,0.459635,0.190104,0.242953,0.339277,0.266406,0.350253,0.729903,0.278514,0.231450,0.585253,0.125032,0.145491
mpc_risk_arbitration,1,4,0.484375,0.183593,0.243050,0.339562,0.268002,0.349966,0.729125,0.279055,0.231897,0.584372,0.125119,0.173838
mpc_risk_arbitration,2,4,0.467448,0.187500,0.243003,0.340174,0.267972,0.350001,0.728093,0.278929,0.233079,0.584040,0.125578,0.154284
mpc_risk_arbitration,3,4,0.486979,0.190104,0.242447,0.338345,0.266156,0.350468,0.729272,0.278228,0.232001,0.584277,0.125341,0.173178
mpc_risk_arbitration,4,4,0.471354,0.177084,0.242847,0.339530,0.267238,0.350433,0.729233,0.277985,0.232635,0.584665,0.125426,0.165094
mpc_risk_arbitration,5,4,0.488281,0.187500,0.242898,0.338658,0.266836,0.348956,0.728483,0.278964,0.231071,0.585253,0.125480,0.175843
mpc_risk_arbitration,6,4,0.472656,0.207031,0.242705,0.339953,0.267144,0.350656,0.728754,0.278840,0.231882,0.584427,0.125023,0.147626
mpc_risk_arbitration,7,4,0.450521,0.200521,0.243648,0.338755,0.267905,0.350625,0.728370,0.278633,0.232459,0.584757,0.125615,0.129451
mpc_risk_arbitration,8,4,0.451823,0.210937,0.243196,0.340309,0.268480,0.350903,0.728308,0.278400,0.232848,0.584969,0.125291,0.123928
mpc_risk_arbitration,9,4,0.457031,0.171875,0.241765,0.338460,0.266940,0.349787,0.729016,0.278517,0.232474,0.584816,0.125375,0.154582
oracle_authority_assignment,0,4,0.569010,0.130208,0.188184,0.382160,0.248608,0.329959,0.852521,0.302414,0.182115,0.704874,0.077566,0.308105
oracle_authority_assignment,1,4,0.539063,0.127604,0.187354,0.383305,0.249423,0.330278,0.852360,0.303372,0.181945,0.705192,0.077585,0.279427
oracle_authority_assignment,2,4,0.565104,0.122396,0.188539,0.382111,0.249236,0.329648,0.852314,0.302978,0.182589,0.705082,0.077627,0.308829
oracle_authority_assignment,3,4,0.537760,0.126302,0.187993,0.382286,0.247106,0.328963,0.852716,0.302510,0.182258,0.704898,0.077702,0.279660
oracle_authority_assignment,4,4,0.554687,0.151042,0.188254,0.383202,0.249219,0.330502,0.853204,0.303203,0.182344,0.704008,0.077613,0.280411
oracle_authority_assignment,5,4,0.540365,0.127604,0.188934,0.383753,0.248402,0.329283,0.851790,0.303874,0.182077,0.704713,0.077211,0.280413
oracle_authority_assignment,6,4,0.549479,0.115886,0.187896,0.383680,0.248390,0.331073,0.852768,0.303689,0.182431,0.703703,0.077474,0.296955
oracle_authority_assignment,7,4,0.576823,0.109375,0.188866,0.382390,0.249295,0.330252,0.852088,0.302812,0.182114,0.704322,0.077870,0.328388
oracle_authority_assignment,8,4,0.554688,0.130208,0.188448,0.384424,0.249919,0.329616,0.851799,0.303773,0.182794,0.704819,0.077587,0.292810
oracle_authority_assignment,9,4,0.541667,0.134115,0.188628,0.382729,0.248046,0.329657,0.852588,0.303599,0.182039,0.704829,0.077447,0.278105
pomdp_handoff_policy,0,4,0.382812,0.200521,0.280660,0.523309,0.292499,0.389865,0.657585,0.338650,0.241879,0.545293,0.100499,-0.012112
pomdp_handoff_policy,1,4,0.381510,0.207031,0.280243,0.523584,0.292679,0.389626,0.657877,0.338628,0.241527,0.544134,0.100259,-0.017386
pomdp_handoff_policy,2,4,0.378906,0.201823,0.280158,0.523705,0.292607,0.389938,0.658166,0.339180,0.242195,0.545040,0.100326,-0.016827
pomdp_handoff_policy,3,4,0.402343,0.210938,0.280246,0.521840,0.291722,0.389223,0.658045,0.338794,0.242652,0.544520,0.100310,0.001641
pomdp_handoff_policy,4,4,0.385417,0.214844,0.280336,0.523239,0.292235,0.389977,0.657459,0.339354,0.242649,0.544634,0.100433,-0.018342
pomdp_handoff_policy,5,4,0.419271,0.240886,0.279672,0.522026,0.291669,0.388048,0.658122,0.339270,0.242090,0.545665,0.100417,0.000207
pomdp_handoff_policy,6,4,0.404948,0.210938,0.279449,0.523599,0.291776,0.389744,0.657200,0.338606,0.242701,0.544781,0.100172,0.003902
pomdp_handoff_policy,7,4,0.398438,0.220052,0.280223,0.523530,0.291751,0.389982,0.657450,0.338858,0.242851,0.545339,0.100288,-0.008465
pomdp_handoff_policy,8,4,0.376302,0.221354,0.280802,0.523742,0.293065,0.390656,0.657800,0.339915,0.242877,0.544455,0.100554,-0.031973
pomdp_handoff_policy,9,4,0.441406,0.233073,0.281088,0.523544,0.291075,0.389964,0.657378,0.339466,0.242240,0.546099,0.100317,0.026255
recovery_aware_mpc,0,4,0.471354,0.188802,0.256569,0.386196,0.261637,0.359973,0.778349,0.325727,0.241929,0.574653,0.122973,0.142104
recovery_aware_mpc,1,4,0.463542,0.184896,0.256138,0.386238,0.263111,0.360038,0.777171,0.326710,0.242108,0.574763,0.122673,0.136375
recovery_aware_mpc,2,4,0.457031,0.205729,0.257194,0.386301,0.263848,0.358973,0.776874,0.326569,0.242104,0.574624,0.123279,0.116669
recovery_aware_mpc,3,4,0.463542,0.186198,0.256479,0.385066,0.263152,0.358806,0.777853,0.325653,0.242113,0.574734,0.123002,0.136066
recovery_aware_mpc,4,4,0.490886,0.201823,0.256248,0.386333,0.263904,0.359731,0.778506,0.325634,0.242689,0.574706,0.122706,0.153298
recovery_aware_mpc,5,4,0.467448,0.187500,0.256773,0.386761,0.263610,0.359346,0.777529,0.326063,0.242569,0.575471,0.122712,0.138479
recovery_aware_mpc,6,4,0.496094,0.218750,0.256716,0.386032,0.263825,0.360247,0.776967,0.326076,0.242926,0.574276,0.122940,0.147750
recovery_aware_mpc,7,4,0.472656,0.207031,0.256830,0.387409,0.262992,0.359923,0.776985,0.326829,0.242016,0.574620,0.122812,0.131318
recovery_aware_mpc,8,4,0.492188,0.207031,0.257428,0.387072,0.264686,0.359946,0.776448,0.327467,0.242823,0.574680,0.122679,0.150400
recovery_aware_mpc,9,4,0.462240,0.227864,0.257018,0.386918,0.262993,0.360443,0.777709,0.326693,0.242917,0.575335,0.122500,0.108064
uncertainty_triggered_handoff,0,4,0.256511,0.226562,0.353811,0.772034,0.321978,0.499796,0.500341,0.365738,0.292498,0.465112,0.054426,-0.265738
uncertainty_triggered_handoff,1,4,0.273438,0.223958,0.354062,0.772763,0.323328,0.499592,0.499865,0.365911,0.291985,0.465180,0.054533,-0.247680
uncertainty_triggered_handoff,2,4,0.287760,0.229167,0.354222,0.771326,0.324340,0.499613,0.499877,0.365412,0.293258,0.463550,0.054803,-0.236395
uncertainty_triggered_handoff,3,4,0.292969,0.227865,0.354457,0.771070,0.322295,0.498893,0.499159,0.365723,0.292789,0.465085,0.054599,-0.230052
uncertainty_triggered_handoff,4,4,0.294271,0.223958,0.354562,0.771935,0.323891,0.500291,0.499293,0.365393,0.292741,0.464588,0.054479,-0.226942
uncertainty_triggered_handoff,5,4,0.283854,0.236979,0.354393,0.770600,0.322406,0.500269,0.499581,0.365312,0.291918,0.465870,0.054972,-0.244797
uncertainty_triggered_handoff,6,4,0.272135,0.218750,0.354762,0.773105,0.323182,0.499568,0.498856,0.365211,0.292662,0.464232,0.054383,-0.245995
uncertainty_triggered_handoff,7,4,0.296875,0.220052,0.354142,0.771403,0.322945,0.500405,0.499379,0.364644,0.292485,0.465109,0.054694,-0.221463
uncertainty_triggered_handoff,8,4,0.264323,0.222657,0.355225,0.772900,0.324374,0.499947,0.499381,0.366013,0.292734,0.464950,0.054501,-0.256570
uncertainty_triggered_handoff,9,4,0.276042,0.231771,0.353994,0.771347,0.322339,0.500875,0.498612,0.364565,0.291699,0.465346,0.054796,-0.249525
