method,seed,n,task_success,safety_violation,authority_regret,human_burden,late_handoff,handoff_churn,recovery_success,intervention_cost,boundary_calibration_error,override_precision,unsafe_autonomy,robust_utility
authority_boundary_v4,0,4,0.307292,0.233073,0.348192,0.828816,0.309606,0.440024,0.556087,0.378699,0.272496,0.494856,0.050759,-0.218900
authority_boundary_v4,1,4,0.300781,0.227864,0.348107,0.828898,0.309623,0.439807,0.555690,0.379038,0.271798,0.494828,0.050636,-0.222222
authority_boundary_v4,2,4,0.313802,0.252604,0.347889,0.829516,0.309625,0.439157,0.554666,0.378976,0.272792,0.494228,0.050709,-0.224632
authority_boundary_v4,3,4,0.309896,0.255208,0.348047,0.827795,0.309435,0.438961,0.556917,0.378272,0.272382,0.495696,0.050824,-0.229474
authority_boundary_v4,4,4,0.290365,0.231771,0.348209,0.829242,0.309091,0.439917,0.556322,0.378819,0.272765,0.495192,0.050913,-0.235025
authority_boundary_v4,5,4,0.319010,0.250000,0.347463,0.828356,0.308420,0.438585,0.556464,0.378660,0.272268,0.494526,0.050772,-0.216987
authority_boundary_v4,6,4,0.316406,0.236979,0.348442,0.828727,0.309446,0.440052,0.556897,0.378932,0.272660,0.494650,0.050765,-0.212185
authority_boundary_v4,7,4,0.304688,0.244791,0.348755,0.828111,0.309678,0.440402,0.555908,0.378666,0.271568,0.494001,0.050661,-0.228809
authority_boundary_v4,8,4,0.302083,0.222656,0.349255,0.829870,0.310661,0.441296,0.555806,0.379143,0.272391,0.493925,0.050740,-0.218557
authority_boundary_v4,9,4,0.272135,0.276042,0.348071,0.829079,0.309056,0.439798,0.555386,0.379267,0.272512,0.495841,0.050600,-0.280728
authority_boundary_v5,0,4,0.369792,0.263021,0.311832,0.674344,0.293700,0.420447,0.622538,0.364417,0.262775,0.525107,0.071678,-0.117166
authority_boundary_v5,1,4,0.371094,0.214844,0.312181,0.676944,0.294496,0.419500,0.623899,0.364248,0.262266,0.525215,0.071501,-0.086594
authority_boundary_v5,2,4,0.390625,0.238281,0.312468,0.675654,0.295806,0.420343,0.623448,0.365015,0.262563,0.524126,0.071539,-0.081780
authority_boundary_v5,3,4,0.398437,0.235677,0.311966,0.673909,0.293699,0.419193,0.623620,0.364749,0.262724,0.524257,0.071787,-0.071292
authority_boundary_v5,4,4,0.361979,0.207031,0.312474,0.675306,0.294494,0.420046,0.624343,0.364592,0.262787,0.523881,0.071644,-0.090608
authority_boundary_v5,5,4,0.343750,0.221354,0.312992,0.674362,0.294211,0.418752,0.623519,0.363847,0.261576,0.524703,0.071890,-0.117412
authority_boundary_v5,6,4,0.339844,0.218750,0.312941,0.674181,0.294100,0.420051,0.623162,0.364827,0.262694,0.524733,0.071882,-0.119912
authority_boundary_v5,7,4,0.382813,0.238281,0.312493,0.674996,0.295094,0.420838,0.623275,0.364341,0.262571,0.525195,0.071786,-0.089331
authority_boundary_v5,8,4,0.371094,0.221354,0.312609,0.675955,0.295147,0.420456,0.623200,0.365183,0.262846,0.524995,0.071553,-0.090868
authority_boundary_v5,9,4,0.380208,0.214843,0.312957,0.675358,0.294355,0.419892,0.624288,0.364639,0.262617,0.525191,0.071719,-0.077325
bayesian_authority_allocation,0,4,0.325521,0.229167,0.332964,0.698815,0.329202,0.409354,0.544554,0.356884,0.261876,0.484136,0.072712,-0.161438
bayesian_authority_allocation,1,4,0.309896,0.236979,0.332566,0.700028,0.329788,0.409608,0.543387,0.357554,0.261955,0.485302,0.072497,-0.182383
bayesian_authority_allocation,2,4,0.337240,0.229167,0.333207,0.699001,0.330746,0.410103,0.543490,0.357005,0.262442,0.484588,0.072871,-0.150259
bayesian_authority_allocation,3,4,0.291667,0.240885,0.332300,0.700270,0.328958,0.409660,0.544674,0.357708,0.261912,0.485137,0.072408,-0.202811
bayesian_authority_allocation,4,4,0.330729,0.256510,0.332720,0.698821,0.330660,0.410129,0.543758,0.356935,0.262051,0.485094,0.072838,-0.173519
bayesian_authority_allocation,5,4,0.302083,0.243489,0.332567,0.697632,0.330068,0.407292,0.543856,0.356528,0.261516,0.484883,0.073141,-0.193284
bayesian_authority_allocation,6,4,0.320312,0.257812,0.332666,0.699721,0.330176,0.409873,0.544455,0.356612,0.262861,0.484631,0.072725,-0.184748
bayesian_authority_allocation,7,4,0.309896,0.259115,0.333203,0.699800,0.329981,0.410101,0.544045,0.357316,0.262086,0.484898,0.072696,-0.196225
bayesian_authority_allocation,8,4,0.342448,0.260416,0.333346,0.699620,0.331829,0.410777,0.542496,0.357221,0.262349,0.484354,0.072809,-0.164964
bayesian_authority_allocation,9,4,0.295573,0.285156,0.332720,0.698569,0.330009,0.410079,0.543976,0.357081,0.262536,0.485104,0.072726,-0.226261
cbf_safety_filter,0,4,0.447917,0.169271,0.263708,0.293689,0.282130,0.338908,0.659900,0.210370,0.252217,0.554377,0.111433,0.152502
cbf_safety_filter,1,4,0.450521,0.141927,0.264590,0.294138,0.281826,0.339613,0.659707,0.210647,0.252318,0.554548,0.110879,0.171652
cbf_safety_filter,2,4,0.466146,0.182292,0.263895,0.294377,0.283636,0.340228,0.659905,0.210877,0.253130,0.554940,0.111202,0.161996
cbf_safety_filter,3,4,0.441406,0.162760,0.264367,0.292877,0.282741,0.339594,0.660852,0.210152,0.251846,0.554442,0.111927,0.149976
cbf_safety_filter,4,4,0.472656,0.162760,0.263779,0.293803,0.283683,0.340290,0.659655,0.211165,0.253285,0.555279,0.110949,0.180719
cbf_safety_filter,5,4,0.437500,0.143229,0.264109,0.293403,0.282516,0.338701,0.660415,0.210897,0.252109,0.555478,0.111265,0.158150
cbf_safety_filter,6,4,0.410156,0.140625,0.263366,0.292953,0.282614,0.340863,0.660980,0.210845,0.252947,0.554696,0.111375,0.132491
cbf_safety_filter,7,4,0.442708,0.148438,0.264071,0.295700,0.282558,0.339783,0.660352,0.210597,0.252582,0.555181,0.110946,0.159476
cbf_safety_filter,8,4,0.457031,0.156250,0.265054,0.294936,0.284353,0.341351,0.659574,0.211852,0.253121,0.554198,0.111299,0.168230
cbf_safety_filter,9,4,0.438802,0.132812,0.264216,0.293929,0.282444,0.339691,0.661340,0.210696,0.252729,0.554016,0.111515,0.165745
confidence_threshold_shared_control,0,4,0.171875,0.277344,0.440128,0.848877,0.382895,0.470335,0.350861,0.364558,0.321849,0.364636,0.060455,-0.439931
confidence_threshold_shared_control,1,4,0.166667,0.273438,0.439840,0.848976,0.384442,0.470073,0.350431,0.364728,0.321697,0.365455,0.060360,-0.442936
confidence_threshold_shared_control,2,4,0.179688,0.285156,0.439386,0.849738,0.384235,0.469621,0.350365,0.364913,0.322844,0.364446,0.060526,-0.437188
confidence_threshold_shared_control,3,4,0.170573,0.290365,0.440022,0.848730,0.383460,0.469616,0.350837,0.364184,0.322358,0.363435,0.060693,-0.449213
confidence_threshold_shared_control,4,4,0.148438,0.320312,0.439354,0.848280,0.383537,0.469438,0.350607,0.364803,0.322593,0.364768,0.060795,-0.489712
confidence_threshold_shared_control,5,4,0.154948,0.286459,0.440337,0.847937,0.382851,0.468593,0.350837,0.363899,0.322155,0.365461,0.060658,-0.462056
confidence_threshold_shared_control,6,4,0.160156,0.319010,0.439161,0.850007,0.382835,0.470071,0.351543,0.364081,0.322555,0.365160,0.060517,-0.477369
confidence_threshold_shared_control,7,4,0.145833,0.295573,0.440172,0.849361,0.383167,0.470948,0.351043,0.364416,0.321727,0.365478,0.060570,-0.477490
confidence_threshold_shared_control,8,4,0.162760,0.308594,0.440275,0.849521,0.384852,0.470442,0.349306,0.365007,0.322357,0.364173,0.060521,-0.469107
confidence_threshold_shared_control,9,4,0.164062,0.307291,0.439263,0.849366,0.383366,0.469579,0.351485,0.364492,0.322159,0.364907,0.060656,-0.466140
controller_fusion_prior,0,4,0.083334,0.365885,0.560246,0.436893,0.383731,0.439920,0.205849,0.220824,0.332114,0.264398,0.252567,-0.508233
