split,ablation,seed,n,task_success,safety_violation,authority_regret,human_burden,late_handoff,handoff_churn,recovery_success,intervention_cost,boundary_calibration_error,override_precision,unsafe_autonomy,robust_utility
combined_authority_stress,confidence_only_boundary,0,168,0.089286,0.267857,0.465512,0.842810,0.427519,0.518812,0.331859,0.355208,0.351651,0.325905,0.063693,-0.535071
combined_authority_stress,confidence_only_boundary,1,168,0.083333,0.321429,0.466029,0.843894,0.430101,0.516824,0.331626,0.355575,0.353642,0.325115,0.063901,-0.574857
combined_authority_stress,confidence_only_boundary,2,168,0.178571,0.267857,0.467151,0.843006,0.431045,0.517033,0.329700,0.354907,0.352767,0.324972,0.063554,-0.446735
combined_authority_stress,confidence_only_boundary,3,168,0.113095,0.333333,0.466177,0.844563,0.430263,0.514990,0.330812,0.355601,0.352641,0.323882,0.063643,-0.552547
combined_authority_stress,confidence_only_boundary,4,168,0.101190,0.303571,0.468478,0.845351,0.432130,0.518763,0.330743,0.354779,0.354341,0.325338,0.063589,-0.547438
combined_authority_stress,confidence_only_boundary,5,168,0.125000,0.279762,0.466999,0.842569,0.430099,0.516324,0.331702,0.355358,0.350965,0.324714,0.063638,-0.507193
combined_authority_stress,confidence_only_boundary,6,168,0.130952,0.285714,0.466942,0.843743,0.430930,0.516762,0.328491,0.356763,0.351484,0.322352,0.063462,-0.505781
combined_authority_stress,confidence_only_boundary,7,168,0.136905,0.351190,0.467587,0.841713,0.431016,0.518661,0.328950,0.355125,0.351245,0.326877,0.063858,-0.540140
combined_authority_stress,confidence_only_boundary,8,168,0.142857,0.327381,0.467280,0.845741,0.429407,0.520866,0.330073,0.355531,0.353891,0.322973,0.063930,-0.520273
combined_authority_stress,confidence_only_boundary,9,168,0.119048,0.363095,0.465433,0.841962,0.427764,0.518356,0.333466,0.355958,0.351351,0.324519,0.063757,-0.564064
combined_authority_stress,full_authority_boundary_v5,0,168,0.321429,0.190476,0.330760,0.704081,0.338949,0.456127,0.605711,0.379567,0.281491,0.505031,0.069658,-0.146803
combined_authority_stress,full_authority_boundary_v5,1,168,0.327381,0.261905,0.334261,0.713644,0.343445,0.457538,0.604755,0.381621,0.282067,0.504053,0.067567,-0.189477
combined_authority_stress,full_authority_boundary_v5,2,168,0.291667,0.250000,0.332426,0.709698,0.341910,0.457891,0.603698,0.380697,0.282240,0.502579,0.068612,-0.216194
combined_authority_stress,full_authority_boundary_v5,3,168,0.315476,0.214286,0.331711,0.707144,0.340546,0.457815,0.605303,0.378145,0.282658,0.505205,0.069025,-0.168839
combined_authority_stress,full_authority_boundary_v5,4,168,0.297619,0.238095,0.333827,0.708404,0.341741,0.455587,0.603516,0.380582,0.281492,0.504585,0.069194,-0.202599
combined_authority_stress,full_authority_boundary_v5,5,168,0.363095,0.178571,0.331856,0.708084,0.339462,0.457441,0.606027,0.380192,0.280679,0.504261,0.068826,-0.099267
combined_authority_stress,full_authority_boundary_v5,6,168,0.309524,0.202381,0.333671,0.709371,0.343199,0.457691,0.606121,0.381458,0.282369,0.505350,0.068534,-0.169110
combined_authority_stress,full_authority_boundary_v5,7,168,0.315476,0.220238,0.334123,0.711239,0.341955,0.458146,0.603547,0.381862,0.281699,0.503659,0.068659,-0.174892
combined_authority_stress,full_authority_boundary_v5,8,168,0.339286,0.226190,0.334843,0.711808,0.342406,0.458967,0.603554,0.379474,0.283228,0.504037,0.068391,-0.155021
combined_authority_stress,full_authority_boundary_v5,9,168,0.238095,0.220238,0.333377,0.707758,0.340514,0.457404,0.604587,0.380730,0.281130,0.505999,0.069184,-0.250735
combined_authority_stress,minus_boundary_uncertainty,0,168,0.244048,0.255952,0.366137,0.679246,0.351636,0.477557,0.557183,0.356633,0.332309,0.457440,0.086256,-0.273854
combined_authority_stress,minus_boundary_uncertainty,1,168,0.279762,0.315476,0.368115,0.684605,0.354901,0.478185,0.554582,0.358853,0.331403,0.454621,0.085452,-0.277853
combined_authority_stress,minus_boundary_uncertainty,2,168,0.279762,0.261905,0.368957,0.682908,0.355049,0.474288,0.555642,0.358519,0.333073,0.451559,0.086174,-0.243879
combined_authority_stress,minus_boundary_uncertainty,3,168,0.297619,0.339286,0.366528,0.680025,0.354355,0.475774,0.554929,0.358646,0.332300,0.453605,0.086260,-0.272836
combined_authority_stress,minus_boundary_uncertainty,4,168,0.303571,0.238095,0.367380,0.684530,0.353127,0.478258,0.556660,0.359131,0.332382,0.453620,0.085503,-0.205451
combined_authority_stress,minus_boundary_uncertainty,5,168,0.321429,0.220238,0.367921,0.681441,0.352983,0.475411,0.557452,0.358362,0.332954,0.456679,0.086140,-0.175412
combined_authority_stress,minus_boundary_uncertainty,6,168,0.333333,0.297619,0.368362,0.682921,0.354026,0.475913,0.555664,0.357952,0.330996,0.454199,0.086069,-0.212278
combined_authority_stress,minus_boundary_uncertainty,7,168,0.327381,0.226190,0.368770,0.681795,0.356862,0.478114,0.553815,0.358598,0.331511,0.453001,0.086534,-0.174706
combined_authority_stress,minus_boundary_uncertainty,8,168,0.303571,0.291667,0.368485,0.682794,0.353100,0.480097,0.555594,0.358019,0.334338,0.451358,0.085927,-0.238716
combined_authority_stress,minus_boundary_uncertainty,9,168,0.309524,0.375000,0.366746,0.677261,0.353081,0.478986,0.555891,0.356465,0.331096,0.455172,0.087342,-0.282352
combined_authority_stress,minus_consequence_risk_model,0,168,0.303571,0.309524,0.392378,0.680048,0.352587,0.446334,0.533840,0.354091,0.311984,0.448460,0.097700,-0.252315
combined_authority_stress,minus_consequence_risk_model,1,168,0.255952,0.297619,0.393916,0.683124,0.356025,0.446805,0.533458,0.357291,0.311894,0.442684,0.096608,-0.294633
combined_authority_stress,minus_consequence_risk_model,2,168,0.273810,0.333333,0.395003,0.683857,0.356157,0.448770,0.534243,0.355563,0.312840,0.444696,0.096011,-0.299388
combined_authority_stress,minus_consequence_risk_model,3,168,0.232143,0.279762,0.392495,0.682959,0.355511,0.446244,0.534171,0.355164,0.310918,0.443268,0.096843,-0.306557
combined_authority_stress,minus_consequence_risk_model,4,168,0.226190,0.351190,0.394284,0.683051,0.354004,0.447380,0.534018,0.356581,0.312466,0.442140,0.096875,-0.357314
combined_authority_stress,minus_consequence_risk_model,5,168,0.202381,0.315476,0.391422,0.683605,0.354414,0.446545,0.533837,0.356054,0.310668,0.445569,0.096332,-0.358325
combined_authority_stress,minus_consequence_risk_model,6,168,0.250000,0.303571,0.391684,0.683673,0.356873,0.447363,0.534694,0.356118,0.310523,0.445319,0.095882,-0.303836
combined_authority_stress,minus_consequence_risk_model,7,168,0.232143,0.357143,0.393654,0.684213,0.357709,0.446825,0.532903,0.355884,0.311557,0.443903,0.096570,-0.355719
combined_authority_stress,minus_consequence_risk_model,8,168,0.291667,0.345238,0.393376,0.683459,0.354602,0.451428,0.533297,0.356791,0.312504,0.441893,0.096277,-0.288678
combined_authority_stress,minus_consequence_risk_model,9,168,0.273810,0.273810,0.392351,0.684597,0.353013,0.448162,0.532495,0.355266,0.311491,0.443768,0.095895,-0.261532
combined_authority_stress,minus_handoff_hysteresis,0,168,0.375000,0.261905,0.339826,0.726744,0.347738,0.598699,0.579941,0.414200,0.282687,0.486735,0.064838,-0.169263
combined_authority_stress,minus_handoff_hysteresis,1,168,0.297619,0.250000,0.340741,0.730423,0.353890,0.598190,0.580186,0.414477,0.281800,0.484156,0.063784,-0.241306
combined_authority_stress,minus_handoff_hysteresis,2,168,0.321429,0.244048,0.339666,0.731574,0.353686,0.595734,0.579728,0.415536,0.281889,0.482734,0.063849,-0.213628
combined_authority_stress,minus_handoff_hysteresis,3,168,0.363095,0.255952,0.340755,0.726537,0.352000,0.596839,0.582133,0.414591,0.281643,0.484287,0.064856,-0.177982
combined_authority_stress,minus_handoff_hysteresis,4,168,0.339286,0.184524,0.339829,0.730782,0.352957,0.597184,0.581910,0.415242,0.281621,0.485563,0.064058,-0.158571
combined_authority_stress,minus_handoff_hysteresis,5,168,0.238095,0.261905,0.340447,0.728370,0.349976,0.596277,0.583718,0.415069,0.281062,0.483343,0.064685,-0.306565
combined_authority_stress,minus_handoff_hysteresis,6,168,0.416667,0.238095,0.340052,0.730430,0.353917,0.594477,0.580535,0.415736,0.281819,0.483934,0.063780,-0.114363
combined_authority_stress,minus_handoff_hysteresis,7,168,0.321429,0.184524,0.342615,0.731749,0.353688,0.600120,0.580515,0.415391,0.281516,0.485153,0.064007,-0.177952
combined_authority_stress,minus_handoff_hysteresis,8,168,0.357143,0.244048,0.340326,0.729219,0.352072,0.600757,0.581033,0.416478,0.284431,0.482144,0.064470,-0.177848
combined_authority_stress,minus_handoff_hysteresis,9,168,0.315476,0.261905,0.340778,0.727539,0.350782,0.595826,0.581858,0.413427,0.280931,0.483980,0.064843,-0.229127
combined_authority_stress,minus_human_burden_model,0,168,0.309524,0.232143,0.320974,0.894558,0.336964,0.466675,0.614339,0.439266,0.291832,0.496209,0.049708,-0.234037
combined_authority_stress,minus_human_burden_model,1,168,0.327381,0.255952,0.320591,0.898027,0.342561,0.465853,0.610489,0.439154,0.292448,0.492644,0.049378,-0.232772
combined_authority_stress,minus_human_burden_model,2,168,0.315476,0.244048,0.321357,0.896823,0.341705,0.467822,0.612564,0.439872,0.291553,0.492151,0.049493,-0.237204
combined_authority_stress,minus_human_burden_model,3,168,0.357143,0.220238,0.321853,0.897834,0.340887,0.466623,0.611606,0.437485,0.292694,0.493907,0.049923,-0.180705
combined_authority_stress,minus_human_burden_model,4,168,0.386905,0.297619,0.320915,0.896683,0.341331,0.469088,0.611571,0.440910,0.290711,0.494059,0.050026,-0.199120
combined_authority_stress,minus_human_burden_model,5,168,0.339286,0.250000,0.319716,0.898137,0.339571,0.464837,0.613541,0.440766,0.292463,0.495928,0.049521,-0.216301
combined_authority_stress,minus_human_burden_model,6,168,0.392857,0.226190,0.319934,0.900120,0.340757,0.467385,0.612763,0.440487,0.291252,0.496874,0.049869,-0.149028
combined_authority_stress,minus_human_burden_model,7,168,0.291667,0.333333,0.321769,0.899257,0.340845,0.467586,0.612780,0.439602,0.291855,0.493857,0.049520,-0.316847
combined_authority_stress,minus_human_burden_model,8,168,0.321429,0.297619,0.320266,0.899498,0.340811,0.465047,0.613304,0.438923,0.293148,0.494492,0.049744,-0.264205
