split,ablation,seed,n,task_success,safety_violation,authority_regret,human_burden,late_handoff,handoff_churn,recovery_success,intervention_cost,boundary_calibration_error,override_precision,unsafe_autonomy,robust_utility
combined_authority_stress,minus_human_burden_model,9,168,0.339286,0.255952,0.319675,0.900683,0.337161,0.468348,0.612807,0.440070,0.293271,0.495290,0.049843,-0.220618
combined_authority_stress,minus_intent_ambiguity_gate,0,168,0.440476,0.273810,0.295967,0.516812,0.326769,0.406278,0.629175,0.316912,0.292184,0.515687,0.119502,-0.009706
combined_authority_stress,minus_intent_ambiguity_gate,1,168,0.375000,0.255952,0.296455,0.518633,0.330330,0.406575,0.627418,0.317574,0.293077,0.514002,0.119790,-0.065482
combined_authority_stress,minus_intent_ambiguity_gate,2,168,0.398810,0.232143,0.299448,0.518233,0.329656,0.404392,0.629644,0.318220,0.291922,0.512674,0.119895,-0.027079
combined_authority_stress,minus_intent_ambiguity_gate,3,168,0.291667,0.261905,0.297484,0.516936,0.328668,0.406896,0.630481,0.318149,0.292522,0.515484,0.119403,-0.151941
combined_authority_stress,minus_intent_ambiguity_gate,4,168,0.380952,0.232143,0.298887,0.518251,0.329147,0.406594,0.629349,0.318453,0.292476,0.511676,0.119910,-0.045030
combined_authority_stress,minus_intent_ambiguity_gate,5,168,0.416667,0.291667,0.297459,0.519140,0.329699,0.406171,0.630690,0.318401,0.292912,0.515385,0.119558,-0.046002
combined_authority_stress,minus_intent_ambiguity_gate,6,168,0.392857,0.232143,0.299001,0.518737,0.330300,0.408957,0.629875,0.317918,0.292119,0.513959,0.120160,-0.033643
combined_authority_stress,minus_intent_ambiguity_gate,7,168,0.327381,0.220238,0.297895,0.517769,0.328557,0.407906,0.629595,0.317382,0.292675,0.514684,0.120008,-0.090794
combined_authority_stress,minus_intent_ambiguity_gate,8,168,0.351190,0.267857,0.298738,0.518266,0.330576,0.410506,0.628020,0.316784,0.291641,0.513767,0.119520,-0.097539
combined_authority_stress,minus_intent_ambiguity_gate,9,168,0.327381,0.297619,0.297581,0.517338,0.327396,0.407109,0.629512,0.318795,0.290451,0.515663,0.120222,-0.138454
combined_authority_stress,minus_recovery_feasibility,0,168,0.297619,0.232143,0.354985,0.689373,0.352643,0.448167,0.442093,0.346469,0.290622,0.472433,0.073649,-0.209988
combined_authority_stress,minus_recovery_feasibility,1,168,0.291667,0.321429,0.355084,0.691110,0.356151,0.450232,0.441838,0.346644,0.292019,0.474531,0.073536,-0.272586
combined_authority_stress,minus_recovery_feasibility,2,168,0.351190,0.208333,0.355191,0.692331,0.355708,0.447030,0.444385,0.345655,0.293080,0.474727,0.073001,-0.142505
combined_authority_stress,minus_recovery_feasibility,3,168,0.273810,0.250000,0.353634,0.688446,0.354423,0.445221,0.442873,0.346938,0.293157,0.475200,0.073942,-0.244224
combined_authority_stress,minus_recovery_feasibility,4,168,0.315476,0.244048,0.354904,0.688551,0.354495,0.448446,0.442783,0.346527,0.291284,0.474467,0.074141,-0.199574
combined_authority_stress,minus_recovery_feasibility,5,168,0.255952,0.208333,0.351297,0.687223,0.352238,0.446751,0.441595,0.346414,0.291576,0.472020,0.073989,-0.235254
combined_authority_stress,minus_recovery_feasibility,6,168,0.273810,0.214286,0.354842,0.687962,0.353134,0.445861,0.443807,0.347866,0.292720,0.471690,0.073544,-0.222156
combined_authority_stress,minus_recovery_feasibility,7,168,0.333333,0.250000,0.355464,0.688561,0.354196,0.448247,0.441148,0.346235,0.291591,0.473116,0.073883,-0.185580
combined_authority_stress,minus_recovery_feasibility,8,168,0.279762,0.238095,0.355494,0.690888,0.353725,0.448642,0.441967,0.346303,0.292641,0.473842,0.073852,-0.232250
combined_authority_stress,minus_recovery_feasibility,9,168,0.303571,0.285714,0.354737,0.691183,0.352024,0.447963,0.443232,0.346603,0.292715,0.473803,0.073262,-0.237421
combined_authority_stress,mpc_only_boundary,0,168,0.440476,0.160714,0.274210,0.381764,0.309280,0.387666,0.721280,0.303922,0.261060,0.554171,0.125070,0.111963
combined_authority_stress,mpc_only_boundary,1,168,0.440476,0.190476,0.275293,0.383839,0.314692,0.387528,0.719555,0.305871,0.261171,0.555609,0.124368,0.091559
combined_authority_stress,mpc_only_boundary,2,168,0.446429,0.184524,0.276835,0.383673,0.314126,0.387662,0.720221,0.305874,0.263032,0.554084,0.125138,0.100984
combined_authority_stress,mpc_only_boundary,3,168,0.410714,0.226190,0.275715,0.383072,0.313403,0.385182,0.721685,0.304645,0.263239,0.555185,0.125781,0.040514
combined_authority_stress,mpc_only_boundary,4,168,0.404762,0.250000,0.276046,0.384203,0.312937,0.388930,0.719942,0.306162,0.261583,0.554308,0.125169,0.018780
combined_authority_stress,mpc_only_boundary,5,168,0.416667,0.244048,0.276420,0.382955,0.312847,0.385042,0.720669,0.303824,0.262401,0.556394,0.125581,0.035354
combined_authority_stress,mpc_only_boundary,6,168,0.410714,0.184524,0.276582,0.382622,0.314416,0.387460,0.720422,0.306787,0.261399,0.554718,0.125608,0.065488
combined_authority_stress,mpc_only_boundary,7,168,0.363095,0.232143,0.274782,0.382745,0.313154,0.387656,0.719566,0.306244,0.261403,0.556030,0.126013,-0.011070
combined_authority_stress,mpc_only_boundary,8,168,0.464286,0.196429,0.276652,0.384964,0.313687,0.390128,0.717987,0.305417,0.263782,0.552741,0.125847,0.110837
combined_authority_stress,mpc_only_boundary,9,168,0.386905,0.184524,0.275789,0.383291,0.312230,0.388864,0.721426,0.305344,0.262678,0.554827,0.124857,0.042122
combined_authority_stress,safety_only_boundary,0,168,0.410714,0.226190,0.284986,0.325632,0.325327,0.377326,0.651096,0.236695,0.281562,0.526993,0.122955,0.052165
combined_authority_stress,safety_only_boundary,1,168,0.309524,0.142857,0.284108,0.329788,0.329535,0.378218,0.650412,0.238291,0.280790,0.524022,0.121442,0.000869
combined_authority_stress,safety_only_boundary,2,168,0.404762,0.130952,0.288114,0.328208,0.329383,0.377515,0.649941,0.235050,0.283371,0.523261,0.121833,0.103260
combined_authority_stress,safety_only_boundary,3,168,0.410714,0.166667,0.285704,0.325722,0.327761,0.376198,0.649542,0.235595,0.282984,0.522717,0.122853,0.088600
combined_authority_stress,safety_only_boundary,4,168,0.434524,0.160714,0.285426,0.329292,0.330210,0.378057,0.649518,0.237182,0.283877,0.522771,0.121723,0.114537
combined_authority_stress,safety_only_boundary,5,168,0.410714,0.148810,0.285658,0.325663,0.327295,0.379237,0.651549,0.235466,0.282080,0.525220,0.122354,0.099580
combined_authority_stress,safety_only_boundary,6,168,0.386905,0.172619,0.287790,0.328991,0.329739,0.376516,0.651018,0.237141,0.280554,0.523429,0.120816,0.059403
combined_authority_stress,safety_only_boundary,7,168,0.446429,0.196429,0.286174,0.328398,0.328399,0.376345,0.649093,0.235958,0.280630,0.522002,0.122076,0.104910
combined_authority_stress,safety_only_boundary,8,168,0.440476,0.172619,0.286339,0.328009,0.328944,0.378033,0.649241,0.236743,0.283395,0.521254,0.122056,0.113415
combined_authority_stress,safety_only_boundary,9,168,0.380952,0.166667,0.285797,0.328434,0.329184,0.379121,0.650245,0.235773,0.280541,0.523681,0.121427,0.057624
low_signal_high_risk_shift,confidence_only_boundary,0,168,0.130952,0.291667,0.454205,0.825391,0.403775,0.474276,0.340194,0.341215,0.364315,0.312858,0.064333,-0.489949
low_signal_high_risk_shift,confidence_only_boundary,1,168,0.148810,0.321429,0.456353,0.826644,0.404035,0.475061,0.340690,0.340989,0.362288,0.313835,0.064390,-0.491456
low_signal_high_risk_shift,confidence_only_boundary,2,168,0.130952,0.339286,0.453552,0.826330,0.404489,0.475292,0.342097,0.341974,0.361715,0.313045,0.064466,-0.519695
low_signal_high_risk_shift,confidence_only_boundary,3,168,0.166667,0.327381,0.453437,0.825993,0.402393,0.475229,0.341996,0.339591,0.361972,0.311992,0.064044,-0.475917
low_signal_high_risk_shift,confidence_only_boundary,4,168,0.166667,0.375000,0.453837,0.828112,0.404373,0.475925,0.340602,0.341885,0.364747,0.312125,0.064222,-0.506790
low_signal_high_risk_shift,confidence_only_boundary,5,168,0.154762,0.357143,0.454932,0.829473,0.404300,0.475323,0.343440,0.342586,0.363459,0.312492,0.063879,-0.507983
low_signal_high_risk_shift,confidence_only_boundary,6,168,0.107143,0.363095,0.454550,0.826612,0.404840,0.475981,0.342232,0.340570,0.363545,0.311697,0.064439,-0.558571
low_signal_high_risk_shift,confidence_only_boundary,7,168,0.184524,0.321429,0.453694,0.827156,0.402850,0.472678,0.343082,0.340324,0.362006,0.313349,0.064051,-0.454466
low_signal_high_risk_shift,confidence_only_boundary,8,168,0.172619,0.285714,0.454401,0.825568,0.405035,0.476546,0.340516,0.339612,0.361207,0.312512,0.064198,-0.444971
low_signal_high_risk_shift,confidence_only_boundary,9,168,0.148810,0.357143,0.455929,0.825678,0.405008,0.475216,0.341512,0.340540,0.362437,0.312304,0.064084,-0.513324
low_signal_high_risk_shift,full_authority_boundary_v5,0,168,0.261905,0.261905,0.321759,0.693370,0.313805,0.413335,0.616424,0.367384,0.291049,0.491997,0.071900,-0.234558
low_signal_high_risk_shift,full_authority_boundary_v5,1,168,0.339286,0.267857,0.322587,0.690534,0.315169,0.415692,0.618286,0.365812,0.292853,0.494080,0.072743,-0.160589
low_signal_high_risk_shift,full_authority_boundary_v5,2,168,0.327381,0.291667,0.321035,0.694316,0.315192,0.415539,0.614784,0.368310,0.293744,0.493061,0.071625,-0.188291
low_signal_high_risk_shift,full_authority_boundary_v5,3,168,0.315476,0.238095,0.321343,0.693357,0.312676,0.415031,0.616322,0.365779,0.292346,0.493532,0.072056,-0.165989
low_signal_high_risk_shift,full_authority_boundary_v5,4,168,0.380952,0.214286,0.319854,0.694664,0.314157,0.414111,0.614538,0.366547,0.293093,0.493257,0.071278,-0.086038
low_signal_high_risk_shift,full_authority_boundary_v5,5,168,0.369048,0.244048,0.321803,0.693781,0.317280,0.414340,0.614612,0.366292,0.291315,0.493384,0.072250,-0.117166
low_signal_high_risk_shift,full_authority_boundary_v5,6,168,0.285714,0.238095,0.321365,0.694983,0.315071,0.413816,0.614546,0.366754,0.293261,0.491313,0.071590,-0.196623
low_signal_high_risk_shift,full_authority_boundary_v5,7,168,0.351190,0.232143,0.321810,0.690808,0.315259,0.413115,0.613938,0.366730,0.291964,0.492053,0.072174,-0.126558
low_signal_high_risk_shift,full_authority_boundary_v5,8,168,0.404762,0.267857,0.321204,0.692135,0.315322,0.415887,0.616269,0.367244,0.293331,0.491342,0.072336,-0.095504
low_signal_high_risk_shift,full_authority_boundary_v5,9,168,0.416667,0.238095,0.323077,0.693866,0.315669,0.414943,0.612894,0.366436,0.292356,0.492220,0.071722,-0.066162
low_signal_high_risk_shift,minus_boundary_uncertainty,0,168,0.333333,0.279762,0.356677,0.665428,0.328770,0.435908,0.568931,0.344968,0.343102,0.439866,0.089616,-0.182885
low_signal_high_risk_shift,minus_boundary_uncertainty,1,168,0.392857,0.303571,0.356347,0.666613,0.326352,0.432754,0.567151,0.343129,0.341397,0.444205,0.089740,-0.137519
low_signal_high_risk_shift,minus_boundary_uncertainty,2,168,0.333333,0.291667,0.355181,0.662665,0.328731,0.435093,0.567490,0.344481,0.343374,0.441865,0.090759,-0.189192
low_signal_high_risk_shift,minus_boundary_uncertainty,3,168,0.345238,0.279762,0.355574,0.663628,0.326571,0.434371,0.566950,0.343175,0.341937,0.445457,0.090149,-0.169716
low_signal_high_risk_shift,minus_boundary_uncertainty,4,168,0.351190,0.261905,0.355477,0.666090,0.327009,0.433101,0.566389,0.344519,0.342353,0.443848,0.089143,-0.153356
low_signal_high_risk_shift,minus_boundary_uncertainty,5,168,0.327381,0.202381,0.355491,0.667015,0.330380,0.432714,0.567148,0.342709,0.342959,0.441980,0.089556,-0.140737
low_signal_high_risk_shift,minus_boundary_uncertainty,6,168,0.291667,0.255952,0.358159,0.665464,0.329627,0.435257,0.567004,0.343730,0.344247,0.439973,0.089786,-0.210259
low_signal_high_risk_shift,minus_boundary_uncertainty,7,168,0.321429,0.291667,0.356168,0.663154,0.328719,0.434451,0.567130,0.344344,0.342550,0.444289,0.090291,-0.201397
low_signal_high_risk_shift,minus_boundary_uncertainty,8,168,0.315476,0.232143,0.354919,0.666357,0.325923,0.439185,0.567633,0.344442,0.341455,0.442033,0.089349,-0.170991
low_signal_high_risk_shift,minus_boundary_uncertainty,9,168,0.363095,0.303571,0.356486,0.664486,0.329079,0.435107,0.568186,0.343139,0.342529,0.444648,0.089842,-0.167442
low_signal_high_risk_shift,minus_consequence_risk_model,0,168,0.303571,0.285714,0.379215,0.667500,0.330143,0.403954,0.546652,0.342188,0.323418,0.432505,0.100073,-0.220359
low_signal_high_risk_shift,minus_consequence_risk_model,1,168,0.327381,0.327381,0.380956,0.667485,0.328506,0.404103,0.544085,0.340907,0.322192,0.433709,0.100805,-0.222648
low_signal_high_risk_shift,minus_consequence_risk_model,2,168,0.291667,0.321429,0.380558,0.667811,0.332432,0.405224,0.545355,0.341527,0.323069,0.431892,0.100014,-0.255373
low_signal_high_risk_shift,minus_consequence_risk_model,3,168,0.279762,0.345238,0.379114,0.663130,0.327527,0.405609,0.545275,0.340869,0.322539,0.433390,0.101428,-0.279758
low_signal_high_risk_shift,minus_consequence_risk_model,4,168,0.279762,0.261905,0.380718,0.666466,0.328688,0.405963,0.545150,0.341682,0.321977,0.432856,0.100309,-0.229612
low_signal_high_risk_shift,minus_consequence_risk_model,5,168,0.303571,0.303571,0.381879,0.665862,0.331623,0.404848,0.543779,0.341872,0.322687,0.433417,0.100428,-0.232246
low_signal_high_risk_shift,minus_consequence_risk_model,6,168,0.291667,0.369048,0.381641,0.666802,0.330945,0.404871,0.545435,0.341484,0.324040,0.431568,0.100333,-0.284635
low_signal_high_risk_shift,minus_consequence_risk_model,7,168,0.297619,0.273810,0.380136,0.664436,0.328044,0.405307,0.546010,0.341218,0.323899,0.436228,0.101479,-0.218207
low_signal_high_risk_shift,minus_consequence_risk_model,8,168,0.309524,0.309524,0.379847,0.664686,0.327819,0.403959,0.545891,0.340153,0.321887,0.431944,0.100706,-0.228138
low_signal_high_risk_shift,minus_consequence_risk_model,9,168,0.255952,0.267857,0.382291,0.666850,0.331658,0.403439,0.543394,0.341833,0.322378,0.434176,0.100309,-0.257925
low_signal_high_risk_shift,minus_handoff_hysteresis,0,168,0.285714,0.172619,0.329482,0.713543,0.326077,0.552224,0.592204,0.402446,0.293697,0.470590,0.067605,-0.186238
low_signal_high_risk_shift,minus_handoff_hysteresis,1,168,0.416667,0.220238,0.328033,0.714051,0.325043,0.554043,0.592577,0.400983,0.293620,0.471077,0.067743,-0.084446
low_signal_high_risk_shift,minus_handoff_hysteresis,2,168,0.428571,0.279762,0.327952,0.714868,0.326164,0.556186,0.592354,0.401093,0.295085,0.471799,0.066556,-0.110087
low_signal_high_risk_shift,minus_handoff_hysteresis,3,168,0.392857,0.291667,0.329472,0.714115,0.323521,0.554251,0.594157,0.401899,0.291642,0.473196,0.066852,-0.152662
low_signal_high_risk_shift,minus_handoff_hysteresis,4,168,0.321429,0.273810,0.327964,0.711971,0.325025,0.555119,0.592532,0.399164,0.292145,0.471661,0.067472,-0.212330
low_signal_high_risk_shift,minus_handoff_hysteresis,5,168,0.375000,0.238095,0.329696,0.714269,0.325601,0.552864,0.593080,0.401225,0.293303,0.471488,0.067218,-0.137583
low_signal_high_risk_shift,minus_handoff_hysteresis,6,168,0.392857,0.232143,0.329457,0.711219,0.325546,0.557003,0.591593,0.401707,0.293695,0.471534,0.067295,-0.115899
low_signal_high_risk_shift,minus_handoff_hysteresis,7,168,0.327381,0.226190,0.328385,0.710079,0.325507,0.553209,0.592493,0.400093,0.292574,0.473102,0.068243,-0.176449
low_signal_high_risk_shift,minus_handoff_hysteresis,8,168,0.345238,0.214286,0.329422,0.714460,0.324616,0.555110,0.592425,0.401023,0.291010,0.472786,0.067427,-0.152705
low_signal_high_risk_shift,minus_handoff_hysteresis,9,168,0.351190,0.190476,0.327012,0.711514,0.325667,0.552620,0.591425,0.399599,0.293121,0.472749,0.067190,-0.130488
low_signal_high_risk_shift,minus_human_burden_model,0,168,0.345238,0.255952,0.310254,0.883945,0.315319,0.424777,0.623197,0.425944,0.303624,0.482541,0.048964,-0.197325
low_signal_high_risk_shift,minus_human_burden_model,1,168,0.357143,0.238095,0.310008,0.881906,0.311519,0.425937,0.622045,0.425366,0.303094,0.483937,0.049019,-0.173364
low_signal_high_risk_shift,minus_human_burden_model,2,168,0.357143,0.297619,0.309512,0.881193,0.317011,0.425247,0.622652,0.426632,0.303875,0.481657,0.049077,-0.210848
low_signal_high_risk_shift,minus_human_burden_model,3,168,0.327381,0.297619,0.308219,0.882441,0.311149,0.425788,0.622488,0.427193,0.301024,0.483496,0.049098,-0.239782
low_signal_high_risk_shift,minus_human_burden_model,4,168,0.357143,0.250000,0.306398,0.880960,0.314199,0.424431,0.623382,0.424777,0.304696,0.482604,0.049027,-0.179698
low_signal_high_risk_shift,minus_human_burden_model,5,168,0.339286,0.244048,0.309370,0.880953,0.312097,0.424978,0.624272,0.425835,0.302067,0.484190,0.049252,-0.194369
low_signal_high_risk_shift,minus_human_burden_model,6,168,0.363095,0.261905,0.309978,0.881734,0.314483,0.425930,0.623951,0.425413,0.303748,0.480589,0.049575,-0.182451
low_signal_high_risk_shift,minus_human_burden_model,7,168,0.285714,0.238095,0.309696,0.884695,0.313954,0.426085,0.622995,0.425802,0.303108,0.483882,0.049336,-0.245759
