split,ablation,metric,mean,ci95,n
combined_authority_stress,minus_human_burden_model,unsafe_autonomy,0.049703,0.000134,10
combined_authority_stress,minus_human_burden_model,robust_utility,-0.225084,0.028299,10
combined_authority_stress,minus_intent_ambiguity_gate,task_success,0.370238,0.028301,10
combined_authority_stress,minus_intent_ambiguity_gate,safety_violation,0.256548,0.016632,10
combined_authority_stress,minus_intent_ambiguity_gate,authority_regret,0.297892,0.000703,10
combined_authority_stress,minus_intent_ambiguity_gate,human_burden,0.518011,0.000483,10
combined_authority_stress,minus_intent_ambiguity_gate,late_handoff,0.329110,0.000790,10
combined_authority_stress,minus_intent_ambiguity_gate,handoff_churn,0.407138,0.001036,10
combined_authority_stress,minus_intent_ambiguity_gate,recovery_success,0.629376,0.000621,10
combined_authority_stress,minus_intent_ambiguity_gate,intervention_cost,0.317859,0.000418,10
combined_authority_stress,minus_intent_ambiguity_gate,boundary_calibration_error,0.292198,0.000468,10
combined_authority_stress,minus_intent_ambiguity_gate,override_precision,0.514298,0.000840,10
combined_authority_stress,minus_intent_ambiguity_gate,unsafe_autonomy,0.119797,0.000180,10
combined_authority_stress,minus_intent_ambiguity_gate,robust_utility,-0.070567,0.029658,10
combined_authority_stress,minus_recovery_feasibility,task_success,0.297619,0.018157,10
combined_authority_stress,minus_recovery_feasibility,safety_violation,0.245238,0.022054,10
combined_authority_stress,minus_recovery_feasibility,authority_regret,0.354563,0.000781,10
combined_authority_stress,minus_recovery_feasibility,human_burden,0.689563,0.001049,10
combined_authority_stress,minus_recovery_feasibility,late_handoff,0.353874,0.000865,10
combined_authority_stress,minus_recovery_feasibility,handoff_churn,0.447656,0.000908,10
combined_authority_stress,minus_recovery_feasibility,recovery_success,0.442572,0.000637,10
combined_authority_stress,minus_recovery_feasibility,intervention_cost,0.346565,0.000351,10
combined_authority_stress,minus_recovery_feasibility,boundary_calibration_error,0.292141,0.000527,10
combined_authority_stress,minus_recovery_feasibility,override_precision,0.473583,0.000753,10
combined_authority_stress,minus_recovery_feasibility,unsafe_autonomy,0.073680,0.000219,10
combined_authority_stress,minus_recovery_feasibility,robust_utility,-0.218154,0.022363,10
combined_authority_stress,mpc_only_boundary,task_success,0.418452,0.018735,10
combined_authority_stress,mpc_only_boundary,safety_violation,0.205357,0.018752,10
combined_authority_stress,mpc_only_boundary,authority_regret,0.275832,0.000534,10
combined_authority_stress,mpc_only_boundary,human_burden,0.383313,0.000559,10
combined_authority_stress,mpc_only_boundary,late_handoff,0.313077,0.000951,10
combined_authority_stress,mpc_only_boundary,handoff_churn,0.387612,0.000973,10
combined_authority_stress,mpc_only_boundary,recovery_success,0.720275,0.000681,10
combined_authority_stress,mpc_only_boundary,intervention_cost,0.305409,0.000616,10
combined_authority_stress,mpc_only_boundary,boundary_calibration_error,0.262175,0.000604,10
combined_authority_stress,mpc_only_boundary,override_precision,0.554807,0.000662,10
combined_authority_stress,mpc_only_boundary,unsafe_autonomy,0.125343,0.000317,10
combined_authority_stress,mpc_only_boundary,robust_utility,0.060653,0.026168,10
combined_authority_stress,safety_only_boundary,task_success,0.403571,0.024398,10
combined_authority_stress,safety_only_boundary,safety_violation,0.168452,0.016866,10
combined_authority_stress,safety_only_boundary,authority_regret,0.286010,0.000745,10
combined_authority_stress,safety_only_boundary,human_burden,0.327814,0.000972,10
combined_authority_stress,safety_only_boundary,late_handoff,0.328578,0.000900,10
combined_authority_stress,safety_only_boundary,handoff_churn,0.377657,0.000671,10
combined_authority_stress,safety_only_boundary,recovery_success,0.650165,0.000524,10
combined_authority_stress,safety_only_boundary,intervention_cost,0.236389,0.000615,10
combined_authority_stress,safety_only_boundary,boundary_calibration_error,0.281978,0.000828,10
combined_authority_stress,safety_only_boundary,override_precision,0.523535,0.001011,10
combined_authority_stress,safety_only_boundary,unsafe_autonomy,0.121953,0.000408,10
