method,stress_level,mean_task_success,ci95_task_success,mean_safety_violation,ci95_safety_violation,mean_authority_regret,ci95_authority_regret,mean_unnecessary_handoff,ci95_unnecessary_handoff,mean_late_handoff,ci95_late_handoff,mean_human_burden,ci95_human_burden,mean_recovery_success,ci95_recovery_success,mean_smoothness_cost,ci95_smoothness_cost,mean_completion_time,ci95_completion_time,mean_handoffs,ci95_handoffs,mean_damage,ci95_damage,mean_progress,ci95_progress,units
bayesian_authority_allocation,0.00,0.99911,0.00175,0.41071,0.03182,0.00837,0.00312,0.02980,0.02017,0.00000,0.00000,0.73909,0.11174,1.00000,0.00000,0.07132,0.01965,9.68746,0.10194,1.58482,0.43667,0.21967,0.00919,0.69252,0.01322,28
bayesian_authority_allocation,0.20,0.99821,0.00243,0.43036,0.02975,0.00911,0.00325,0.03609,0.02366,0.00000,0.00000,0.73086,0.11157,1.00000,0.00000,0.07152,0.01814,9.72974,0.10645,1.58929,0.40319,0.23705,0.00986,0.67293,0.01304,28
bayesian_authority_allocation,0.40,0.99821,0.00243,0.47857,0.03444,0.00985,0.00327,0.04362,0.02809,0.00000,0.00000,0.72306,0.11262,0.99911,0.00175,0.07505,0.01918,9.78458,0.11015,1.66786,0.42629,0.26040,0.01230,0.65321,0.01334,28
bayesian_authority_allocation,0.60,0.99375,0.00480,0.50536,0.03585,0.01099,0.00351,0.05553,0.03747,0.00000,0.00000,0.71695,0.11437,1.00000,0.00000,0.07365,0.01792,9.82354,0.11452,1.63661,0.39830,0.28760,0.01404,0.63343,0.01369,28
bayesian_authority_allocation,0.80,0.97589,0.01221,0.51161,0.02998,0.01155,0.00360,0.05631,0.03654,0.00000,0.00000,0.70838,0.11605,1.00000,0.00000,0.07304,0.01777,9.86404,0.12343,1.62321,0.39479,0.30502,0.01145,0.61329,0.01370,28
bayesian_authority_allocation,1.00,0.74196,0.11497,0.55625,0.02698,0.01187,0.00350,0.06652,0.04396,0.00000,0.00000,0.68786,0.11932,1.00000,0.00000,0.07357,0.01697,9.89367,0.13258,1.63482,0.37713,0.32914,0.01115,0.59479,0.01402,28
cbf_safety_filter,0.00,0.97946,0.00911,0.53214,0.03023,0.21007,0.03340,0.54517,0.03645,0.02036,0.00772,0.03633,0.00127,0.53214,0.15884,0.14979,0.00924,9.25902,0.05658,3.32857,0.20533,0.31804,0.01364,0.72250,0.01171,28
cbf_safety_filter,0.20,0.99286,0.00495,0.53393,0.03278,0.13595,0.02737,0.44511,0.02896,0.04009,0.01492,0.04590,0.00164,0.67946,0.12139,0.09940,0.01565,9.12005,0.07940,2.20893,0.34768,0.30220,0.01397,0.70988,0.01068,28
cbf_safety_filter,0.40,0.98929,0.00587,0.53571,0.03029,0.08248,0.02110,0.30193,0.04642,0.03250,0.01186,0.05045,0.00200,0.79554,0.07934,0.04930,0.01263,8.97828,0.06661,1.09554,0.28067,0.30376,0.01164,0.69696,0.00972,28
cbf_safety_filter,0.60,0.98839,0.00689,0.52232,0.04019,0.05321,0.01588,0.15137,0.03820,0.01786,0.00555,0.05147,0.00191,0.89554,0.04292,0.02230,0.00760,8.92488,0.04750,0.49554,0.16882,0.30827,0.01364,0.68029,0.00885,28
cbf_safety_filter,0.80,0.98482,0.00683,0.56607,0.03048,0.03517,0.01234,0.05208,0.01900,0.00554,0.00222,0.05064,0.00076,0.96429,0.01807,0.00683,0.00256,8.91492,0.02691,0.15179,0.05686,0.32436,0.00756,0.66198,0.00815,28
cbf_safety_filter,1.00,0.97946,0.00799,0.58571,0.02766,0.02693,0.01056,0.01384,0.00867,0.00143,0.00096,0.05023,0.00039,0.98304,0.01129,0.00169,0.00101,8.94579,0.02229,0.03750,0.02247,0.34614,0.00975,0.64217,0.00806,28
confidence_threshold_shared_control,0.00,1.00000,0.00000,0.39732,0.03988,0.04105,0.01845,0.07984,0.02253,0.00134,0.00105,0.98447,0.00516,0.83482,0.10920,0.01193,0.00417,9.77661,0.02102,0.26518,0.09261,0.21869,0.01241,0.66074,0.00817,28
confidence_threshold_shared_control,0.20,0.99821,0.00243,0.44554,0.02950,0.04443,0.01970,0.06198,0.03071,0.00696,0.00400,0.98495,0.00787,0.77768,0.14260,0.01165,0.00617,9.82722,0.02967,0.25893,0.13710,0.24415,0.01097,0.64026,0.00823,28
confidence_threshold_shared_control,0.40,0.99643,0.00330,0.44643,0.03293,0.05388,0.02130,0.08591,0.04567,0.01518,0.00897,0.97440,0.01460,0.75804,0.15000,0.01912,0.01086,9.89681,0.03949,0.42500,0.24144,0.26475,0.01177,0.61926,0.00821,28
confidence_threshold_shared_control,0.60,0.98393,0.01161,0.49554,0.03098,0.06556,0.02357,0.10665,0.05266,0.02411,0.01386,0.95810,0.02406,0.73393,0.15006,0.03054,0.01723,9.97497,0.05378,0.67857,0.38280,0.29662,0.01775,0.59836,0.00852,28
confidence_threshold_shared_control,0.80,0.76607,0.09791,0.54286,0.03187,0.07909,0.02698,0.12147,0.04885,0.03259,0.01796,0.93323,0.03737,0.71875,0.15330,0.04584,0.02472,10.05982,0.06869,1.01875,0.54944,0.32875,0.01830,0.57723,0.00863,28
confidence_threshold_shared_control,1.00,0.30893,0.14917,0.59464,0.03007,0.09241,0.02788,0.15514,0.03581,0.04170,0.01985,0.89623,0.05035,0.71607,0.14653,0.06746,0.03025,10.15399,0.07581,1.49911,0.67226,0.36899,0.02226,0.55699,0.00844,28
controller_fusion_prior,0.00,0.93304,0.02064,0.62589,0.03405,0.41335,0.01801,0.85257,0.06841,0.00982,0.00385,0.13733,0.00838,0.01250,0.00817,0.12162,0.01952,9.33950,0.07319,2.70268,0.43380,0.39602,0.01795,0.68661,0.01129,28
controller_fusion_prior,0.20,0.94643,0.01931,0.60357,0.03632,0.41889,0.01416,0.66759,0.09540,0.01777,0.00713,0.15969,0.00505,0.02946,0.02198,0.07831,0.01636,9.28312,0.06526,1.74018,0.36364,0.39053,0.01773,0.65561,0.01091,28
controller_fusion_prior,0.40,0.92946,0.01427,0.62411,0.03203,0.42901,0.01030,0.42269,0.10815,0.01839,0.00695,0.17865,0.00530,0.05357,0.03588,0.04633,0.01375,9.26463,0.06354,1.02946,0.30555,0.41438,0.01359,0.62435,0.01068,28
controller_fusion_prior,0.60,0.79107,0.08607,0.67768,0.02355,0.44435,0.00600,0.21364,0.06510,0.00902,0.00294,0.19084,0.00850,0.08839,0.05587,0.02567,0.01003,9.28173,0.06060,0.57054,0.22280,0.43829,0.01016,0.59253,0.01035,28
controller_fusion_prior,0.80,0.45625,0.16793,0.68750,0.03551,0.46178,0.00373,0.15321,0.05412,0.00518,0.00209,0.20346,0.01303,0.13839,0.07267,0.02535,0.01138,9.36964,0.06984,0.56339,0.25299,0.47678,0.01493,0.56145,0.00972,28
controller_fusion_prior,1.00,0.15179,0.08763,0.70446,0.02703,0.48267,0.00521,0.13888,0.05646,0.00152,0.00077,0.21042,0.01549,0.14732,0.07720,0.02680,0.01288,9.45645,0.07561,0.59554,0.28628,0.50068,0.01428,0.53129,0.00938,28
mpc_risk_arbitration,0.00,1.00000,0.00000,0.43304,0.02632,0.03114,0.00949,0.02476,0.01430,0.00000,0.00000,0.18758,0.06264,0.98750,0.00817,0.04649,0.01781,8.98954,0.12847,1.03304,0.39571,0.22525,0.00676,0.73783,0.00807,28
mpc_risk_arbitration,0.20,0.99821,0.00243,0.45714,0.03206,0.02943,0.00942,0.01021,0.00661,0.00000,0.00000,0.16434,0.05398,0.99464,0.00635,0.04347,0.01749,9.00503,0.11749,0.96607,0.38873,0.25053,0.00844,0.71898,0.00774,28
mpc_risk_arbitration,0.40,1.00000,0.00000,0.49464,0.02788,0.02801,0.00957,0.00734,0.00486,0.00000,0.00000,0.14042,0.04323,0.99464,0.00387,0.03721,0.01572,9.00771,0.09998,0.82679,0.34941,0.26895,0.00894,0.70038,0.00777,28
mpc_risk_arbitration,0.60,0.99375,0.00480,0.50357,0.02333,0.02529,0.00900,0.00379,0.00382,0.00000,0.00000,0.12600,0.03784,0.99643,0.00415,0.03379,0.01544,9.03317,0.09250,0.75089,0.34309,0.29501,0.00809,0.68015,0.00767,28
mpc_risk_arbitration,0.80,0.98750,0.00817,0.54196,0.02715,0.02381,0.00887,0.00141,0.00163,0.00000,0.00000,0.10607,0.02895,0.99732,0.00292,0.02760,0.01357,9.04368,0.07627,0.61339,0.30162,0.31700,0.00784,0.65997,0.00756,28
mpc_risk_arbitration,1.00,0.97321,0.00941,0.56786,0.03482,0.02122,0.00824,0.00179,0.00243,0.00000,0.00000,0.09368,0.02285,0.99821,0.00243,0.02198,0.01061,9.06242,0.06005,0.48839,0.23570,0.33802,0.00994,0.64002,0.00778,28
oracle_authority_boundary,0.00,1.00000,0.00000,0.39554,0.03056,0.00828,0.00263,0.00000,0.00000,0.00000,0.00000,0.40990,0.13769,1.00000,0.00000,0.07039,0.02861,9.31212,0.22489,1.56429,0.63575,0.21532,0.01036,0.72283,0.01205,28
oracle_authority_boundary,0.20,0.99821,0.00243,0.44732,0.02287,0.00832,0.00276,0.00000,0.00000,0.00000,0.00000,0.37767,0.13213,1.00000,0.00000,0.07104,0.02906,9.32936,0.22084,1.57857,0.64575,0.24461,0.00844,0.70525,0.01132,28
oracle_authority_boundary,0.40,0.99732,0.00292,0.46339,0.03691,0.00909,0.00316,0.00000,0.00000,0.00000,0.00000,0.32677,0.11978,1.00000,0.00000,0.07465,0.02796,9.33931,0.21288,1.65893,0.62136,0.26124,0.01169,0.68808,0.01018,28
oracle_authority_boundary,0.60,0.99196,0.00620,0.49732,0.02707,0.00909,0.00316,0.00000,0.00000,0.00000,0.00000,0.29734,0.11069,1.00000,0.00000,0.07899,0.02935,9.37491,0.21201,1.75536,0.65215,0.28733,0.00958,0.66942,0.00956,28
oracle_authority_boundary,0.80,0.98125,0.00896,0.52679,0.03076,0.00926,0.00331,0.00000,0.00000,0.00000,0.00000,0.25679,0.09760,1.00000,0.00000,0.07606,0.02951,9.37272,0.20261,1.69018,0.65572,0.31588,0.01287,0.65153,0.00871,28
oracle_authority_boundary,1.00,0.97321,0.01180,0.56964,0.03101,0.00940,0.00324,0.00000,0.00000,0.00000,0.00000,0.22049,0.08617,1.00000,0.00000,0.07003,0.03009,9.36568,0.19312,1.55625,0.66869,0.33923,0.01242,0.63270,0.00828,28
proposed_authority_boundary,0.00,0.99911,0.00175,0.40893,0.02420,0.01086,0.00483,0.02429,0.01698,0.00000,0.00000,0.82620,0.10742,0.99911,0.00175,0.02720,0.01425,9.63143,0.08032,0.60446,0.31666,0.21977,0.00936,0.68355,0.01368,28
proposed_authority_boundary,0.20,0.99911,0.00175,0.41875,0.02802,0.01292,0.00542,0.02638,0.01810,0.00000,0.00000,0.82968,0.10511,0.99911,0.00175,0.02736,0.01410,9.68633,0.07756,0.60804,0.31326,0.23266,0.00996,0.66307,0.01342,28
proposed_authority_boundary,0.40,0.99732,0.00292,0.47946,0.03484,0.01684,0.00689,0.04376,0.02939,0.00000,0.00000,0.84223,0.09717,0.99375,0.00598,0.03005,0.01598,9.76310,0.06182,0.66786,0.35520,0.26598,0.01092,0.64071,0.01260,28
proposed_authority_boundary,0.60,0.99643,0.00330,0.47232,0.03017,0.01857,0.00729,0.06154,0.04104,0.00000,0.00000,0.83875,0.09818,0.99375,0.00598,0.03122,0.01632,9.81380,0.06183,0.69375,0.36272,0.28350,0.00952,0.62083,0.01274,28
proposed_authority_boundary,0.80,0.90179,0.05469,0.51339,0.01843,0.02130,0.00794,0.07592,0.05044,0.00000,0.00000,0.84113,0.09793,0.99196,0.00758,0.02865,0.01538,9.85959,0.06491,0.63661,0.34170,0.29794,0.00647,0.59971,0.01275,28
